necesidad_id	fuente_canonica	objeto_evidencia_id	tipo_evidencia	evidencia_ref	evidencia_localizador	variable_reactivo_tabla	texto_evidencia	unidad_observacion	periodo	universo_muestra	codificacion	parte_necesidad_cubierta	parte_necesidad_no_cubierta	uso_potencial_modelo	transformacion_requerida	incertidumbre	traza_revision	siguiente_accion
N25	DOES_CORRUPTION_INFORMATION_INSPIRE_THE_FIGHT_OR_QUASH_THE_HOPE	OE-c0e6f88263d23f3aa80725aa	DOCUMENTO_INDEXADO_SIN_MAPEO	MAIN:data/mapa-ext-academico-2026-08-06.tsv	L2	NO_DETERMINADO	El estudio está clasificado a umbral documental, pero la fila local no aporta variable o estimando adjudicable para esta clave.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	SATISFACE-UMBRAL-DOCUMENTAL	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/mapa-ext-academico-2026-08-06.tsv, localizador L2, y se contrastó únicamente con N25 / DOES_CORRUPTION_INFORMATION_INSPIRE_THE_FIGHT_OR_QUASH_THE_HOPE / OE-c0e6f88263d23f3aa80725aa.	Abrir instrumento y tablas del estudio; localizar tratamiento informativo, outcome y estimando pertinente.
N25	DOES_CORRUPTION_INFORMATION_INSPIRE_THE_FIGHT_OR_QUASH_THE_HOPE	OE-c8e117825dd360967c8a01a5	DOCUMENTO_INDEXADO_SIN_MAPEO	MAIN:data/mapa-ext-academico-2026-08-06.tsv	L2	NO_DETERMINADO	El estudio está clasificado a umbral documental, pero la fila local no aporta variable o estimando adjudicable para esta clave.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	SATISFACE-UMBRAL-DOCUMENTAL	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/mapa-ext-academico-2026-08-06.tsv, localizador L2, y se contrastó únicamente con N25 / DOES_CORRUPTION_INFORMATION_INSPIRE_THE_FIGHT_OR_QUASH_THE_HOPE / OE-c8e117825dd360967c8a01a5.	Abrir instrumento y tablas del estudio; localizar tratamiento informativo, outcome y estimando pertinente.
N25	ELECTORAL_PRECINCT_LEVEL_DATABASE_FOR_MEXICAN_MUNICIPAL_ELECTION	OE-4b45123490a5aa18fc9c597f	BASE_INDEXADA_SIN_MAPEO	MAIN:data/mapa-ext-academico-2026-08-06.tsv	L21	NO_DETERMINADO	La base electoral está identificada como potencialmente material, pero falta esquema y vínculo causal para esta necesidad.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	CANDIDATA-NUEVA-POTENCIALMENTE-MATERIAL	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/mapa-ext-academico-2026-08-06.tsv, localizador L21, y se contrastó únicamente con N25 / ELECTORAL_PRECINCT_LEVEL_DATABASE_FOR_MEXICAN_MUNICIPAL_ELECTION / OE-4b45123490a5aa18fc9c597f.	Abrir codebook y verificar variables de sección, elección, tratamiento/exposición y resultado.
N26	ENIF	OE-bf0460662dfd327f8155a915	INSTRUMENTO_LOCAL_PARCIAL	MAIN:forense/hitoE-campana-medicion-v2_0.md	L999-L1116	NO_DETERMINADO	ENIF tiene reactivos financieros identificados (P9_9_1..6, P4_10 y sección 11), pero la evidencia local no verifica el cruce específico solicitado por esta clave.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Efecto electoral alrededor del umbral de elegibilidad, independiente de aprobación presidencial.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:forense/hitoE-campana-medicion-v2_0.md, localizador L999-L1116, y se contrastó únicamente con N26 / ENIF / OE-bf0460662dfd327f8155a915.	Mapear en el cuestionario y microdato ENIF los reactivos de la necesidad y el desenlace, y comprobar que comparten unidad de observación.
N26	MEXICO_PANEL_STUDY_2012	OE-c4924c6957c6dfd37ddc93e0	FUENTE_INDEXADA_SIN_APERTURA	MAIN:data/mapa-ext-general-2026-08-06.tsv	L16	NO_DETERMINADO	El panel está inventariado localmente, pero no hay diccionario o reactivo abierto que pruebe esta relación.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	La relación requiere un objeto de evidencia concreto todavía no mapeado.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/mapa-ext-general-2026-08-06.tsv, localizador L16, y se contrastó únicamente con N26 / MEXICO_PANEL_STUDY_2012 / OE-c4924c6957c6dfd37ddc93e0.	Abrir cuestionario y codebook 2012 y localizar las variables exactas y su llave longitudinal.
N27	BASE_DEL_OBSERVATORIO_DE_CONFLICTOS_POR_EL_AGUA	OE-697db0914760551bdf2e9c70	BASE_INDEXADA_SIN_MAPEO	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv	L25	NO_DETERMINADO	La base está registrada como candidata, sin esquema local abierto ni variables adjudicables para esta relación.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	CANDIDATA	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv, localizador L25, y se contrastó únicamente con N27 / BASE_DEL_OBSERVATORIO_DE_CONFLICTOS_POR_EL_AGUA / OE-697db0914760551bdf2e9c70.	Abrir diccionario y mapear evento, actor, repertorio, resultado, geografía y periodo.
N27	MEXICO_PANEL_STUDY_2012	OE-3074d0aa35a610f7c8e280b5	FUENTE_INDEXADA_SIN_APERTURA	MAIN:data/mapa-ext-general-2026-08-06.tsv	L16	NO_DETERMINADO	El panel está inventariado localmente, pero no hay diccionario o reactivo abierto que pruebe esta relación.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	La relación requiere un objeto de evidencia concreto todavía no mapeado.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/mapa-ext-general-2026-08-06.tsv, localizador L16, y se contrastó únicamente con N27 / MEXICO_PANEL_STUDY_2012 / OE-3074d0aa35a610f7c8e280b5.	Abrir cuestionario y codebook 2012 y localizar las variables exactas y su llave longitudinal.
N27	VOTAR_ENTRE_BALAS	OE-6e01cd26b435952004ff4c95	BASE_INDEXADA_SIN_MAPEO	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv	L14	NO_DETERMINADO	La base de violencia político-criminal está identificada, pero no hay variables abiertas que prueben respuesta individual o el mecanismo requerido.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	CANDIDATA	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv, localizador L14, y se contrastó únicamente con N27 / VOTAR_ENTRE_BALAS / OE-6e01cd26b435952004ff4c95.	Abrir diccionario/descarga y mapear tipo de evento, actor, municipio, fecha y outcome electoral; declarar límite ecológico.
N29	ENCUESTA_ANUAL_DE_COMPETENCIAS_FINANCIERAS_2019_2024	OE-63d0732feceeafcbd327963f	ABIERTO_SIN_MAPEO	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv	L3	NO_DETERMINADO	La fuente figura abierta sin mapeo; no se dispone aquí de variable, tabla o texto que satisfaga la clave.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	ABIERTO-SIN-MAPEO	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv, localizador L3, y se contrastó únicamente con N29 / ENCUESTA_ANUAL_DE_COMPETENCIAS_FINANCIERAS_2019_2024 / OE-63d0732feceeafcbd327963f.	Mapear cuestionario y tabulados 2019–2024 a la necesidad, con periodo, unidad y codificación.
N30	ENBIARE2021	OE-3c9d2eefcfaae7c834250eff	APERTURA_SIN_PAR_COMPLETO	MAIN:forense/matriz-impacto-universal-2026-08-06.md	L81-L86	NO_DETERMINADO	La matriz local registra orientación futura y redes en ENBIARE, pero advierte que no sustituyen automáticamente el diseño ni prueban el desenlace coobservado de esta relación.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Disposición a transar con desconocidos por nivel de enforcement.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:forense/matriz-impacto-universal-2026-08-06.md, localizador L81-L86, y se contrastó únicamente con N30 / ENBIARE2021 / OE-3c9d2eefcfaae7c834250eff.	Abrir cuestionario/diccionario ENBIARE y localizar texto, codificación y llave del reactivo junto con el desenlace requerido.
N30	LATINOBARÓMETRO	OE-18a91d6f51832ff30efa00b4	CUESTIONARIO_SIN_MICRODATO	MAIN:forense/hitoE-campana-medicion-v2_0.md	L1116	NO_DETERMINADO	El cuestionario local identifica P4NOIJ como proxy de obediencia, pero el microdato no está registrado; para otras necesidades no hay mapeo de reactivo y desenlace.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	La relación requiere un objeto de evidencia concreto todavía no mapeado.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:forense/hitoE-campana-medicion-v2_0.md, localizador L1116, y se contrastó únicamente con N30 / LATINOBARÓMETRO / OE-18a91d6f51832ff30efa00b4.	Obtener el microdato bajo la licencia aplicable y mapear reactivo, codificación y desenlace para México.
N31	CCPV	OE-e3e2c41b1f94b885919e010d	FUENTE_SIN_APERTURA_ESPECIFICA	MAIN:forense/hitoE-campana-medicion-v2_0.md	L274	NO_DETERMINADO	La evidencia local general no identifica diseño, reactivo o muestra de CCPV que permita probar replicación fuera de Tlaxcala.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Replicación fuera de muestra universitaria del hallazgo de Tlaxcala.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Se abrió la referencia local MAIN:forense/hitoE-campana-medicion-v2_0.md, localizador L274, y se contrastó únicamente con N31 / CCPV / OE-e3e2c41b1f94b885919e010d.	Abrir instrumento, ficha muestral y resultados CCPV; verificar cobertura geográfica y réplica del estimando original.
