id	fecha	acto	pr	pieza	que_no_se_corrio	razon	impacto	sucesor	estado	cerrado_por	fecha_cierre
NC-0095	2026-09-09	GEN2-R-SERIE-CSV		P1	sellar forense/prereg-duelo-v2/codificacion-R-v1_0.tsv, que sigue en estado = PROPUESTA	DECISIÓN-DE-MESA-PENDIENTE	Los tres R que este acto sella toman de ahi codificacion, universo, ponderador y diseno -- los cuatro elementos que espec-R-ciega-v1_2.tsv declara NO ESTIMADO EN ESTE ACTO. Es lo que quita la palanca al ejecutor (que conocia los tres resultados GEN1 al congelar), pero significa que tres R sellados descansan hoy sobre una PROPUESTA. Ninguna cifra cambia si mesa la sella; lo que cambia es el estatus del insumo. Fila de firma: FP-370.	FP-370	CERRADA	ACTO MESA-CONCILIACION-E01: FP-370 FIRMADA-EJECUTADA; codificacion-R-v1_2 es la sucesora sellada y conserva campos sustantivos.	2026-09-10
NC-0096	2026-09-09	GEN2-R-SERIE-CSV	#714	P2	validacion independiente formal de los tres R (etiquetas.validacion_independiente = NO-HECHA en los tres spec.yaml)	EJECUTADA-POR-IMPLEMENTACION-SEPARADA	ACTO GEN2-VALIDACION-R-ENVIPE-22 reconstruyo desde la definicion y el corpus 3/3 n, numeradores, denominadores y puntos exactos; la linealizacion independiente concuerda numericamente con 3/3 EE historicos, pero su aptitud inferencial queda NO-APROBADA. El overlay comun posterior a #710 proyecta 9 RESULT PASA y 12 CONCUERDA-NO-APROBADA sin reescribir specs ni resultados sellados.	NC-0159 conserva exclusivamente la via de diseno completa	CERRADA	ACTO GEN2-VALIDACION-R-ENVIPE-22: validacion formal ejecutada y vinculada al contrato comun; puntos VALIDADO, incertidumbre historica CONCUERDA y aptitud inferencial NO-APROBADA	2026-09-11
NC-0097	2026-09-09	GEN2-R-SERIE-CSV		CONTADOR	escribir la fila de cuenta_gen2=SI de los tres CALC-R en data/corrida0/decisiones.tsv	FUERA-DE-PERÍMETRO	NINGUN CONTADOR SE QUEDA QUIETO: el registro ya cuenta los tres (motivo_cuenta_gen2 = etiqueta de la spec; N_corridas_selladas 7->10, N_resultados_gen2_sellados 516->630) porque la firma de mesa con OBJETO viaja verbatim en etiquetas.cuenta_gen2_firma de cada spec.yaml. Lo que falta es la fila del artefacto de mesa. decisiones.tsv NO esta en el perimetro de este encargo y lo tiene en el suyo el tramite FIRMAS-ADOPCION-1, que corre en paralelo en NUBE. || ACTO GEN2-REGISTRO-REPLAY (9/sep/2026) NO la cerro, y no por olvido: data/corrida0/decisiones.tsv NO esta en el perimetro de ese encargo, y escribir las tres filas tiene consecuencia mecanica medida -- _cuenta_gen2_resuelto da precedencia a decisiones.tsv sobre la etiqueta de la spec, asi que motivo_cuenta_gen2 de los tres CALC-R cambiaria en corridas.tsv y obligaria a re-derivar las vistas, que tampoco estan en su perimetro y que el acto DBF esta tocando en CAJA. Sigue ABIERTA con el sucesor que esta fila ya nombra. forense/notas/2026-09-09-GEN2-REGISTRO-REPLAY-cierre.md	FIRMAS-ADOPCION-1 (o acto con decisiones.tsv en su perimetro)	CERRADA	#664 (ACTO GEN2-LOTE-ENCIG-1, ADENDA 5: asiento -- no re-firma)	2026-09-09
NC-0098	2026-09-09	GEN2-R-SERIE-DBF		P1/P2 (estimandos)	medir U4 (unidad PERSONA, ID_PER, FAC_ELE, tper_vic2) en las tres olas DBF	FUERA-DE-PERÍMETRO	Ninguno sobre este acto: la familia R-ENVIPE-SERIE mide U_R y U1, ambos de unidad DELITO sobre tmod_vic con FAC_DEL, y ningun RESULT del trio CSV toca tper_vic2. La guardia de tper_vic2 sale NO-APLICA por ola -- valor declarado, no omision (D-15). El punto de serie y el arbitro R no dependen de U4. Lo que queda sin cubrir es la comparacion contra GEN1 en unidad persona, que para estas tres celdas tampoco aplica: los tres dictamenes GEN1 del trio viejo son de unidad delito con FAC_DEL.	"acto que necesite U4 en olas anteriores a 2021; ver NC-0099 para el caso 2012 || ENMIENDA FECHADA 2026-09-16 (ACTO GEN2-VIGENCIA-DEUDA-1, PROPUESTA A MESA, no decision del ejecutor): el texto de arriba NO se reescribe. NC-0099 (el caso 2012 al que este sucesor remitia) esta CERRADA desde 2026-09-14, cerrado_por GEN2-LOTE-MEDICION-PENDIENTE-1: CALC-ENVIPE-U4-2012 y CALC-ENVIPE-U4-2012-v1_1 existen sellados en data/corrida0/ (sello.json, sello.sha256, resultados.json; P-C2-U4 = 0.338397, IC [0.322115, 0.355328]) y firmados por mesa (forense/firmas-pendientes.tsv, FP-375, FIRMADA 2026-09-15). Medido hoy: `find data/corrida0 -maxdepth 1 -iname ""*U4*""` solo devuelve CALC-ENVIPE-U4-2012 y CALC-ENVIPE-U4-2012-v1_1 -- ningun CALC-ENVIPE-U4-2013 ni -2015 existe, y un barrido de las filas ABIERTA del ledger por 'U4' en pieza/que_no_se_corrio/sucesor solo devuelve esta misma NC-0098 (no hay otra fila persiguiendo el mismo hueco). El bloqueador para el caso 2012 vencio por producto sellado y firmado; el bloqueador para 2013/2015 sigue de pie, sin acto que lo tome. Sucesor propuesto: acto que necesite U4 en ENVIPE 2013 y 2015 (unidad PERSONA, ID_PER, FAC_ELE, tper_vic2) -- 2012 ya resuelto y sellado (CALC-ENVIPE-U4-2012 / -v1_1), no repetir esa ola."	ABIERTA		
NC-0099	2026-09-09	GEN2-R-SERIE-DBF		P1 (descriptor)	declarar la ruta que permitiria construir U4 en ENVIPE 2012 (join a tsdem por N_REN == R_SEL)	DIFERIDO-A:SIN-ASIGNAR	Medido contra el descriptor, no supuesto: tper_vic.dbf de 2012 tiene 311 436 filas -- EXACTAMENTE las mismas que tsdem.DBF -- o sea el censo completo del hogar y no la persona seleccionada, y NO trae N_REN: solo N_INF, R_SEL y TOT_PER. Ningun campo dice que renglon es esa fila, asi que aislar a la persona seleccionada exige un join a tsdem que ninguna spec de esta familia declara. 2013 y 2015 no tienen el problema (2013 ya trae una fila por persona seleccionada; 2015 trae ID_PER en TPer_Vic2). Se declara y NO se improvisa: un join nuevo devuelve vacio en vez de error, y el denominador de U4 se equivocaria en silencio. Fuente: FD_ENVIPE_2012.xls, hoja TPer_Viv.	acto que abra U4 en olas DBF: tiene que DECLARAR en su spec el join a tsdem por N_REN == R_SEL antes de medir, y verificar la cardinalidad del join contra tsdem -- SIN-ASIGNAR de acto puntual; gatea junto con NC-0098	CERRADA	GEN2-LOTE-MEDICION-PENDIENTE-1 (spec ENVIPE-2012-U4 v1.0/v1.1 declara y mide la ruta: delito->persona por (CONTROL,VIV_SEL,HOGAR,R_SEL), FAC_ELE por hogar desde tper_vic (rama 2: unica fila valida en 74 944 de 83 483 hogares), join a tsdem por N_REN == R_SEL con cardinalidad 9854/9854/0; CALC-ENVIPE-U4-2012 y -v1_1 sellados, P-C2-U4 = 0.338397; hallazgo: EST de tper_vic/tsdem no es el estrato de diseno, se toma de Tmod_Vic en v1.1; NC-0098 conserva 2013/2015)	2026-09-14
NC-0100	2026-09-11	GEN2-REACTIVOS-RESIDUALES-BUSQUEDA-UTIL	#742	P1 (insumo)	acreditar texto para las 32 identidades DBF todavía residuales de ENVIPE 2013/2015	EJECUTADA-PARCIAL-CON-RESIDUAL: GEN2-39 acreditó 791 de las 823 filas que faltaban; no inventa texto para variables ausentes del descriptor ni para correspondencias técnicas o ambiguas	El buscador vigente cubre 1272/1304 filas DBF: ENVIPE 2012 400/400, 2013 410/419 y 2015 462/485. Las 32 restantes siguen explícitas y el negativo de búsqueda no demuestra ausencia científica.	NC-0100: acreditar 9 identidades de 2013 (2 EST_SOC técnicas y 7 documentales) y 23 de 2015 (18 técnicas/ambiguas y AP5_3_02, AP5_4_02, AP5_5_02, AP5_6_02, AP5_7_1 no localizadas en el descriptor oficial)	CERRADA	ACTO GEN2-VERIFICACION-CAJA-2: 32/32 acreditadas una por una contra el descriptor oficial (fd_envipe2013.xlsx 7e842826e3f7, fd_envipe2015.pdf 1042ab57b015) -- 7 ACREDITADA, 18 ACREDITADA-CON-NOTA, 7 NO-LOCALIZADA-EN-DESCRIPTOR-OFICIAL (AP5_3_02/AP5_4_02/AP5_5_02/AP5_6_02/AP5_7_1 de 2015: el PDF salta de AP5_6_01 a AP5_7_2 entre pp. 26-27; EST_SOC x2 de 2013: el FD documenta EST, no EST_SOC). Cierre valido por letra del encargo (acreditadas + no-localizadas declaradas); texto oficial de las 7 para via de titular en NC-0185. Tabla: forense/notas/2026-09-14-GEN2-VERIFICACION-CAJA-2-cierre.md s2	2026-09-14
NC-0101	2026-09-09	GEN2-R-SERIE-DBF		P3 (serie)	medir las ocho olas ENVIPE que la serie sigue sin tener (2011, 2014, 2016, 2017, 2018, 2019, 2020 y 2022)	EJECUCION-AUTORIZADA-POR-D12	Con este acto la serie pasa de cuatro a SIETE puntos (anos de delito 2011, 2012, 2014, 2020, 2022, 2023, 2024) sobre trece posibles. El hueco que mas muerde esta entre 2014 y 2020: SEIS anos de delito sin medir, justo donde la serie cambia de nivel (los tres puntos viejos en 0.285-0.296 y los cuatro modernos en 0.227-0.244). Por eso este acto publica la serie DESCRIPTIVA y no adjudicada: toda lectura de forma sobre ese salto es lectura sobre un hueco. Los payloads de las ocho olas EXISTEN en el manifiesto (envipe_2011_..., envipe_2014_..., envipe_2016_... hasta envipe_2020_..., y envipe2022): no hay nada que adquirir, falta medir.	E08; verificar primero que los ocho payloads ya manifestados sean utilizables	CERRADA	ACTO GEN2-ENVIPE-SERIE-COMPLETA (#692): ocho CALC-ENVIPE-SERIE-{2011,2014,2016,2017,2018,2019,2020,2022} sellados con 40/40 RESULT cada uno y producto anual 2010-2024 completo; no queda adquisicion de esas olas.	2026-09-10
NC-0102	2026-09-09	GEN2-R-SERIE-DBF		CIERRE (adopcion)	adoptar los seis R (trio moderno + trio viejo) en sus consumidores del duelo	DIFERIDO-A:F3	Cero adopciones por diseno: ningun RESULT de las dos familias se cita en milpa/tramite.yaml, milpa/procedencia.yaml ni milpa/src/. Los seis quedan como OFERTA en data/corrida0/resultados.tsv. La adopcion es de mesa, por lote, y no la decide el ejecutor. Contador que no se mueve por esto: N_resultados_gen2_adoptados_activos sigue en 2.	F3 (adopcion por lote de los seis R, con firma de mesa por merge)	CERRADA	ACTO MESA-CONCILIACION-E01: CALC-TRIADA-0001 consumio por identidad los seis R de las dos familias; cierre acotado al duelo, no adopcion al motor.	2026-09-10
NC-0103	2026-09-09	GEN2-R-SERIE-DBF		CONTADOR	escribir la fila de cuenta_gen2=SI de los tres CALC-R del trio viejo en data/corrida0/decisiones.tsv	FUERA-DE-PERÍMETRO	Mismo caso que NC-0097 y con el mismo desenlace: NINGUN CONTADOR SE QUEDA QUIETO. El registro ya cuenta los tres porque la firma de mesa con OBJETO viaja verbatim en etiquetas.cuenta_gen2_firma de los tres spec.yaml, y de ahi sale motivo_cuenta_gen2: N_corridas_selladas 11->14, N_resultados_sellados 901->1021, N_resultados_gen2_sellados 631->751. decisiones.tsv no esta en el perimetro enumerado por el encargo y el merge de mesa es la firma que perfecciona la etiqueta.	el mismo acto que resuelva NC-0097	CERRADA	ACTO MESA-CONCILIACION-E01: asiento explicito transcrito a decisiones.tsv para CALC-R-CIV-M-01/-02/-04 desde cuenta_gen2_firma de sus specs; cierre posterior al asiento.	2026-09-10
NC-0104	2026-09-09	GEN2-REGISTRO-REPLAY		P2 (residuo de la reparacion de NC-0094)	publicar la columna `fuente_replay` ya implementada en corridas.tsv, resultados.tsv y usos.tsv sin mover replay ajeno	EJECUTADA-PUBLICACION-EFECTIVA	Las tres vistas efectivas se publicaron con fuente_replay por corrida, resultado y uso: 150/3335/207 filas. Se conciliaron 32 corridas por identidad exacta; las dos C0D conservan el negativo posterior de #683 y las demas preservan su evidencia publicada. CALC-0001-v2, CALC-ENIF-0002 y CALC-TRIADA-0002 quedan visibles. La derivacion lectora posterior es estable y no cambio ningun resultados.json ni sello.json.	NO-APLICA: conservar asientos versionados y exigir lote explicito ante transiciones futuras	CERRADA	ACTO GEN2-PUBLICACION-POST693-Y-CIERRES	2026-09-10
NC-0105	2026-09-09	GEN2-PREP-LOTE		P1	reclasificar la regla familia.seguro.volatilidad_ausencia_estado (RES-0035/RES-0036, seis fuentes ENIGH sin payload propio, ahora etiquetada AMBIGUA en vez de ENIGH2022 silencioso)	EJECUCION-AUTORIZADA-POR-D09	La corrida deja de tener una etiqueta de instrumento util (AMBIGUA) hasta que la regla misma declare, por conducta, cual de las seis olas de ENIGH le corresponde -- ningun CALC ni sello se ve afectado, es solo la columna instrumento de demanda-corridas.tsv la que cambia.	E04: procedencia por conducta y ola; no inventar media de seis olas	CERRADA	ACTO GEN2-MOTOR-USOS: procedencia por conducta ENIGH2022 en milpa/tramite.yaml y demanda corrida0 regenerada sin AMBIGUA	2026-09-10
NC-0106	2026-09-09	GEN2-PREP-LOTE		P1	corregir milpa/tramite.yaml:tramite.mordida.discrecional/.con_registro `fuente:` (sigue ENCIG2023, cosmetico -- ya no autoridad porque _instrumento() lee el payload)	FUERA-DE-PERÍMETRO	Ninguno: la derivacion ya no lee ese campo para conductas con payload propio. Se declara para que el `fuente:` desactualizado no se lea como bug pendiente sin dueño.	acto de mantenimiento de milpa/tramite.yaml, o ninguno si mesa decide que la prosa historica no vale la pena tocar	CERRADA	ACTO GEN2-FIRMAS-MESA-1 (PR #785) -- OBJETO 13: las dos claves `fuente:` de tramite.mordida.discrecional y .con_registro reciben `fuente_enmienda_fechada` 15/sep/2026 que declara que la lista es prosa historica y ya no autoridad (`_instrumento()` lee el payload). Este acto es el «acto de mantenimiento de milpa/tramite.yaml» que la fila nombraba como sucesor. La lista NO se reescribe: 0 borrados en el diff.	2026-09-15
NC-0107	2026-09-09	GEN2-LOTE-ENCIG-1	#664	ADOPCION	RES-0009 y RES-0011 (paga_mordida_encig2025_presencial/_digital, rama base CD) quedan SIN cita de adopcion en milpa/tramite.yaml	EJECUCION-AUTORIZADA-POR-D07; SIN-LIMITE-PRESUPUESTARIO-ARTIFICIAL | F-13 (mesa 15/sep/2026): se mantiene SIN adopcion (tasas discrepantes, RES-0009/0011); se instruye formular la regla prospectiva por unidad que su sucesor E04 propone.	B-P-PRE-CD y B-P-DIG-CD no reproducen al grano de seis decimales (-3.227e-05 y -2.362e-06; n medida 9942/6339 contra 9937/6337 declaradas por la enmienda). La regla de desempate de MAESTRA34-L1 para los 501 ID_TRA cuyas filas difieren en P7_3 no esta escrita en ningun artefacto reproducible. Consecuencia medida: adoptados_activos sube 4, no 6.	E04: mantener tasas discrepantes sin adopcion y formular regla prospectiva por unidad si hace falta	ABIERTA		
NC-0108	2026-09-09	GEN2-LOTE-ENCIG-1	#664	ADOPCION	Los seis complementos (RES-0004/0010/0012/0014/0016/0022) quedan SIN cita	DECISIÓN-DE-MESA-PENDIENTE	Son 1-menos-el-primario sobre denominadores que excluyen categorias reales del reactivo: residuos medidos 0.002258 (A, P8_3_1=9), 0.219818 (B, canal) y 0.011176 (C, P7_3 en {3,7,8,9}). Seis consumidores siguen LEGACY-GEN1 y dependencias_legacy baja 4, no 10. Patron NC-0085 del lote ENVIPE, aqui aplicado por criterio PRE-DECLARADO antes de medir.	SIN-ASIGNAR -- mesa decide si un complemento aritmetico puede llevar cita, o si se re-especifica con su denominador en el rotulo	CERRADA	GEN2-MOTOR-SEMANTICA	2026-09-09
NC-0109	2026-09-09	GEN2-LOTE-ENCIG-1	#664	HERRAMIENTA	tools/ya_medido.py devuelve NUNCA-MEDIDA para las tres reglas de este acto, que estan medidas y selladas en milpa/tramite.yaml	FUERA-DE-PERÍMETRO	T-YAMEDIDO existe para impedir que un acto llame 'territorio virgen' a una regla ya medida, y para estas tres el guardian habria dejado pasar exactamente ese error. Dos causas verificadas contra el codigo: (1) _tiene_veredicto_real() no reconoce MEDIDO -- solo los diez veredictos de falsacion R o un campo veredicto:, asi que una regla medida como tasa base (el patron de todo el lote F4->F3) le es invisible; (2) _ventana_de_terminos() recorta a +-260 caracteres y pierde el NO-DISCRIMINA que si existe en el desplazamiento 5472 del bloque de tramite.gobierno_digital.util_sin_coercion (8946 caracteres) -- falso negativo incluso bajo la semantica estrecha del script.	ACTO GEN2-YA-MEDIDO-TASAS -- reconocimiento estructural de tasas y evidencia corrida0 sellada	CERRADA	ACTO GEN2-YA-MEDIDO-TASAS	2026-09-10
NC-0110	2026-09-09	GEN2-LOTE-ENCIG-1	#664	MOTOR	El mapeo canal<->disparador de tramite.mordida.con_registro no cubre el 21.98% del peso de su universo	DECISIÓN-DE-MESA-PENDIENTE	P7_3 tiene OCHO categorias sustantivas; el par presencial {1} / digital {3,4,5} usa cuatro y deja fuera 2 (banco, supermercado, tiendas o farmacias) y 6 (modulos, clinicas u oficinas temporales o moviles): 6588 eventos, B-P-RESIDUO-CANAL = 0.219818. La regla mapea 'digital ~ registro_o_testigos' y 'presencial ~ nadie observa', y ese mapeo no dice nada de quien paga el predial en el banco. La dicotomia es propiedad del RECORTE, no del instrumento.	SIN-ASIGNAR -- mesa decide si el par se re-especifica o si se declara su alcance recortado	CERRADA	GEN2-MOTOR-SEMANTICA	2026-09-09
NC-0111	2026-09-09	GEN2-LOTE-ENCIG-1	#664	UNIVERSO	El denominador de la familia B no es el universo de tramites, y no es reparable con ENCIG	EJECUCION-AUTORIZADA-POR-D08	B-COBERTURA = 0.200895: P8_4 solo se pregunta a quien ya declaro algo en 8.3 (1062533 de 1083672 filas de sec_8 traen P8_4 en blanco), asi que el estimando es p(este tramite fue el senalado | tramite de alguien que ya declaro corrupcion), no p(mordida|canal). Reserva que GEN1 declaro en prosa y que este acto CUENTA por primera vez. Corregirla exigiria un universo que el instrumento no da.	"E04 acota el dato actual; E09 busca una fuente para tasa general || ENMIENDA FECHADA 2026-09-16 (ACTO GEN2-VIGENCIA-DEUDA-1, PROPUESTA A MESA, no decision del ejecutor): el texto de arriba NO se reescribe. Medido hoy: E04 (`ADR-458`, `ACTO GEN2-MOTOR-USOS-Y-COMPLEMENTOS`, PR #689) y E09 (`ADR-461`, `ACTO GEN2-ADQUISICION-DIRIGIDA-Y-DIN`, PR #693) ya corrieron y fusionaron en main sin resolver esta fila (`forense/notas/2026-09-10-GEN2-MOTOR-USOS-Y-COMPLEMENTOS-cierre.md:91`: ""Permanecen abiertas ... NC-0111""; `forense/notas/2026-09-10-GEN2-ADQUISICION-DIRIGIDA-cartera.md:27`: ""ninguna fuente cruza el evento con su canal""). Un tercer acto posterior, con NC-0111 explícito en su perímetro (`ACTO GEN2-CORRUPCION-UNIDAD-Y-FUENTE-GENERAL`, `ADR-464`, PR #695, compuerta ""PR #689 y PR #693 fusionados""), ya cerró la búsqueda: `forense/notas/2026-09-10-GEN2-CORRUPCION-UNIDAD-Y-FUENTE-GENERAL-cierre.md:151` — ""NC-0111 | r2 sigue condicionada; dos candidatos parciales no cubren canal × evento | ABIERTA | conservar límite estructural y consumir r2 sólo en dominio"". Verificado en vivo hoy (`grep -n TASA_GENERAL_SOLICITUD_PAGO_INFORMAL_POR_CANAL_TRAMITES_MEXICO data/cola-adquisicion-v1_0.tsv`): la fila canónica sigue en `OBTENIDO-PARCIAL`, y su residual `ENCIG_TASA_NACIONAL_PAGO_INFORMAL_POR_CANAL` (`SOLICITUD-PREPARADA`) cita como consumidor `NC-0111;NC-0153` con siguiente acción ""titular presenta 04-INEGI-ENCIG-NC-0153.md y aporta folio"" — vía externa aún no ejecutada. Sucesor propuesto: mientras NC-0153 no reciba respuesta de INEGI con el enlace evento↔canal (8.5/NT_TIPO/P7_3) o un microdato/tabulado nacional equivalente, NC-0111 opera bajo ""conservar límite estructural y consumir r2 sólo en dominio observado"" (recomendación ya sellada por ADR-464); si INEGI responde con ese enlace, acto sucesor que re-derive el denominador de familia B con el universo nuevo; si no responde o la respuesta no cruza evento con canal, decisión de mesa sobre si el residual de familia B se declara sin instrumento disponible en vez de seguir listando E04/E09 como acción pendiente."	ABIERTA		
NC-0112	2026-09-09	GEN2-LOTE-ENCIG-1	#664	METODO	El metodo de IC se eligio sobre RANURA VACIA, y en B y C el IC es limite inferior	DECISIÓN-DE-MESA-PENDIENTE	Nadie pre-registro el metodo de IC para estas series; lo eligio el ejecutor y se declara en §3.7 de la spec sellada (bootstrap de UPM con reemplazo dentro de EST_DIS, 2000 replicas, PCG64 semilla 20260909). 71 estratos (presencial) y 78 (digital) quedan con una sola UPM en B, y 8 en C -> METODO-IC = IC-CON-ESTRATOS-DE-UPM-UNICA y esos IC se leen como LIMITE INFERIOR de la anchura verdadera, nunca como IC exactos. La familia A no tiene ninguno: su IC es limpio.	SIN-ASIGNAR -- mesa fija el metodo de IC de la serie	CERRADA	GEN2-MOTOR-SEMANTICA	2026-09-09
NC-0113	2026-09-09	GEN2-LOTE-ENCIG-1	#664	SEMANTICA	El reactivo 8.3 completo (A-P-SOLANY = 0.115702) no lo cita ningun consumidor, y el rotulo paga_mordida mide SOLICITUD, no pago	DECISIÓN-DE-MESA-PENDIENTE	Restringir el reactivo 8.3 a su primer inciso -- como hizo GEN1 -- cuesta A-DELTA-SOLANY-SOL1 = +0.030584 (0.115702 con los tres incisos contra 0.085118 con P8_3_1 solo). Y ninguno de los tres incisos mide pagar: P8_6 si, y de quienes llegan a el (n=4883) solo el 66.29% entrego algo (X-P-DIO-ALGO = 0.662933). El motor ejecuta 0.085118 bajo un nombre que promete pago. Este acto NO renombra nada ni mueve el p: escribe la reserva en la propia cita.	SIN-ASIGNAR -- mesa decide si el consumidor se re-ancla a SOLANY, se renombra, o se deja con la reserva escrita en la cita	CERRADA	GEN2-MOTOR-SEMANTICA	2026-09-09
NC-0114	2026-09-09	GEN2-SONDA-ADQ-CABLEADO	#718	P3 (criterios de aceptacion 7 y 8 del seccion 6 de la revision del 9/sep)	correlacionar una ejecucion programada de produccion desde Windows Task Scheduler hasta su recibo publicado y distinguirla de una invocacion manual	EJECUCION-AUTORIZADA-POR-D19	CERRADA el 11/sep por trigger de hora unico y real, no Start-ScheduledTask ni semanal: RecordId 77/Id 107 inicia por condicion de desencadenador de hora; 79/100 y 80/200 inician tarea y wsl.exe; 81/201 y 82/102 cierran codigo 0. Todos ActivityId 53e8f092-5db2-4510-a807-d1b0d13207a8. WSL correlaciona run_id=2026-09-11T102646-1498932, SHA=1e880f05faa16c7cee1ca86aea322188336d279f, Codex 0.154.0/gpt-5.6-sol, seleccion 0 elegibles/140 excluidas, resultado cola_vacia, heartbeat FIN/0 y recibo remoto 8c6ca338 en PR #716. El trigger unico fue retirado; el semanal queda solo para 14/sep 07:30.	ninguno -- la recuperacion real es exclusivamente NC-0120 y no se fabrica	CERRADA	ACTO GEN2-ADQ-CODEX-PRODUCCION	2026-09-11
NC-0115	2026-09-09	GEN2-SONDA-ADQ-CABLEADO	#704	P1/H6 (gracia de escalamiento) y seccion 4 de la revision (autoridad del calendario)	hacer configurable la gracia TERM->KILL en data/adq-config.yaml (claude_kill_after_segundos), y unificar la autoridad del horario 07:30, que hoy vive en TRES consumidores que no se leen entre si	EJECUCION-AUTORIZADA-POR-D19	data/adq-config.yaml:calendario es autoridad unica de 07:30, lunes-viernes y zonas IANA/Windows; instalador, runner, doctor y T31 consumen tools/adq_config.py. claude_kill_after_segundos=60 tiene validacion y precedencia CLAUDE_KILL_AFTER_SEGUNDOS > YAML > respaldo declarado. Timeout de proceso, gracia TERM->KILL y ventana de observacion quedan separados. Pruebas focalizadas: 71/71; -WhatIf real leyo el calendario sin modificar la tarea.	CERRADA por codigo integrado en ACTO GEN2-SONDA-CRON-PRODUCCION; despliegue operativo se verifica por NC-0114/0120	CERRADA		
NC-0119	2026-09-09	GEN2-ADQ-VERIFICACION-CAJA		P1 (lectura de lo instalado)	retirar la linea del crontab legado de WSL (30 7 * * 1-5 cd /home/pc0/mm-adq && ./tools/adquiere_cron.sh)	FUERA-DE-PERÍMETRO	La atribucion YA esta probada (condicion (1) de tools/windows/GUIA-TAREA-ADQUISICION.md cumplida): hoy dispararon LOS DOS a las 07:30:07 -- run_id 2026-09-09T073007-491 (cron, identificado porque su stdout llego a forense/adq-log/cron-stdout.log, archivo que SOLO escribe el redirect del crontab: el runner no lo nombra, grep en tools/adquiere_cron.sh = 0 con control positivo adq-log=3) perdio el flock y salio exit 3; run_id ...-371 gano, corrio 228s, exit=0, y es la huella fusionada en forense/censo-raiz/2026-09-09.txt. Task Scheduler reporta LastTaskResult=0, no 3, asi que la tarea de Windows es la que opero. PERO el paso (3) de la GUIA exige documentar la retirada en forense/cron/REGISTRO-CRON-v1_0.md, que NO esta en el perimetro de este acto, y retirar el respaldo mientras el CABLEADO modifica adquiere_cron.sh en paralelo agrega riesgo sin urgencia: el flock ya contiene el dano (la invocacion perdedora no toca git ni el corpus).	acto con forense/cron/ en su perimetro, despues de la primera corrida de produccion post-CABLEADO	CERRADA	PR #668 (ACTO GEN2-RETIRO-CRON-LEGADO)	2026-09-09
NC-0120	2026-09-09	GEN2-ADQ-VERIFICACION-CAJA	#718	P1 (politica de recuperacion; unico alcance restante)	observar una recuperacion real de StartWhenAvailable	NO-VERIFICABLE-AQUI	La habilitacion administrativa SI quedo completada el 11/sep: wevtutil elevado por UAC bajo FF-5563\\PC0 y Get-WinEvent confirman Microsoft-Windows-TaskScheduler/Operational IsEnabled=True; el disparo horario real genero RecordId 77-82 y ActivityId correlacionable. La corrida normal programada de puesta en marcha no fue recuperacion y no acredita StartWhenAvailable. Operar con Codex ya no depende de esta observacion.	Observar una perdida real futura si ocurre naturalmente; no reiniciar, suspender ni cambiar el reloj para fabricarla y no volver a encargar la migracion Codex	CERRADA	ACTO GEN2-PENDIENTES-CAJA-1 (RESUELTO: nota §3.1; forense/notas/2026-09-22-GEN2-PENDIENTES-CAJA-1-verificacion.tsv)	2026-09-22
NC-0121	2026-09-09	GEN2-ADQ-VERIFICACION-CAJA		P2 (piloto SONDA-3)	extender el cruce canal-de-alta x fintech a las olas ENIF 2018 y 2021 para serie temporal	EJECUCION-AUTORIZADA-POR-D10	El perimetro del piloto es UNA fila y 90 min de sondeo. ENIF 2018/2021 estan en corpus (enif2018_csv.zip, enif2021_csv.zip, enif_2021_fd_pdf.zip) y el descriptor 2021 ya estaba marcado PARALELA-PARCIAL en la nota de la fila desde el 6/sep, pero NO se abrieron hoy: el resultado de 2024 se declara de una sola ola, sin tendencia.	E04: serie/procedencia del proxy aceptado; no llamarlo canal del producto fintech especifico	CERRADA	ACTO GEN2-ENIF-FINTECH-SERIE-DESCRIPTIVA: CALC-ENIF-FINTECH-0001 mide 2021 (cuenta n=337; credito n=58) con diseno y control independiente; 2018 queda NO-ESTIMABLE por ausencia demostrada de categoria fintech y canal del ultimo producto. La serie no se presenta como continua; NC-0122 conserva el limite del producto exacto.	2026-09-10
NC-0122	2026-09-09	GEN2-ADQ-VERIFICACION-CAJA		P2 (piloto SONDA-3)	medir el canal de alta DEL PRODUCTO FINTECH en si, no del ultimo producto contratado	EJECUCION-AUTORIZADA-POR-D10 | F-14 (mesa 15/sep/2026): se acepta como proxy descriptivo (canal del ultimo producto entre tenedores fintech) con rotulo literal, siguiendo E04.	"Limite estructural del instrumento, no del sondeo: ENIF 2024 pregunta P6_6/P5_16 por el ULTIMO credito/cuenta, sin sufijo de producto, mientras P6_2_8/P5_4_8 identifican tenencia fintech. El cruce publicado es ""canal del ultimo producto entre tenedores de producto fintech"" -- proxy de margen estrecho. Por eso la fila queda EXISTE-SATISFACE-PARCIAL y no SATISFACE. Tampoco existe ""referido"" como codigo de canal en ninguna de las dos baterias: esa pierna sigue EXISTE-NO-SATISFACE."	E04: aceptar como proxy descriptivo del ultimo producto entre personas con fintech, con rotulo literal	CERRADA	ACTO GEN2-FIRMAS-MESA-2	2026-09-15
