consumidor_bucket	slot	consumidor	generacion	result	via	estado	razon	sucesor
marco_del_duelo	RES-0099	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-01:AGREGADO	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0100	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-02:R	GEN2	RESULT-R-CIV-M-02-PUNTO	pin	RELEVADA-PREVIA	pin de mesa firmado ya aplicado (TANDA-3/4)	—
marco_del_duelo	RES-0101	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-02:M	GEN2	RESULT-ENVIPE-DEN-P-C2-U4	pin	RELEVADA-PREVIA	pin de mesa firmado ya aplicado (TANDA-3/4)	—
marco_del_duelo	RES-0102	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-02:L:L-solo	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0103	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-02:L:L+corpus	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0104	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-02:AGREGADO	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0105	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-04:R	GEN2	RESULT-R-CIV-M-04-PUNTO	pin	RELEVADA-PREVIA	pin de mesa firmado ya aplicado (TANDA-3/4)	—
marco_del_duelo	RES-0106	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-04:M	GEN2	RESULT-ENVIPE-DEN-P-C2-U4	pin	RELEVADA-PREVIA	pin de mesa firmado ya aplicado (TANDA-3/4)	—
marco_del_duelo	RES-0107	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-04:L:L-solo	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0108	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-04:L:L+corpus	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0109	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-04:AGREGADO	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0110	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-10:R	GEN2	RESULT-R-CIV-M-10-PUNTO	pin	RELEVADA-PREVIA	pin de mesa firmado ya aplicado (TANDA-3/4)	—
marco_del_duelo	RES-0111	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-10:M	GEN2	RESULT-ENVIPE-DEN-P-C2-U4	pin	RELEVADA-PREVIA	pin de mesa firmado ya aplicado (TANDA-3/4)	—
marco_del_duelo	RES-0112	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-10:L:L-solo	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0113	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-10:L:L+corpus	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0114	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-10:AGREGADO	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0115	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-12:R	GEN2	RESULT-R-CIV-M-12-PUNTO	pin	RELEVADA-PREVIA	pin de mesa firmado ya aplicado (TANDA-3/4)	—
marco_del_duelo	RES-0116	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-12:M	GEN2	RESULT-ENVIPE-DEN-P-C2-U4	pin	RELEVADA-PREVIA	pin de mesa firmado ya aplicado (TANDA-3/4)	—
marco_del_duelo	RES-0117	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-12:L:L-solo	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0118	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-12:L:L+corpus	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0119	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-12:AGREGADO	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0120	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-13:R	GEN2	RESULT-R-CIV-M-13-PUNTO	pin	RELEVADA-PREVIA	pin de mesa firmado ya aplicado (TANDA-3/4)	—
marco_del_duelo	RES-0121	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-13:M	GEN2	RESULT-ENVIPE-DEN-P-C2-U4	pin	RELEVADA-PREVIA	pin de mesa firmado ya aplicado (TANDA-3/4)	—
marco_del_duelo	RES-0122	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-13:L:L-solo	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0123	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-13:L:L+corpus	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0124	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:CIV-M-13:AGREGADO	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0125	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:DIN-M-01:R	GEN2	RESULT-R-DIN-M-01-PUNTO	pin	RELEVADA-PREVIA	pin de mesa firmado ya aplicado (TANDA-3/4)	—
marco_del_duelo	RES-0126	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:DIN-M-01:M	LEGACY-GEN1		—	NC	DIFERIDO-A:CAJA -- M emitido desde la regla ENNViH (RES-0029/0030), diferida por el motor	CAJA (payloads ennvih en manifiesto)
marco_del_duelo	RES-0127	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:DIN-M-01:L:L-solo	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0128	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:DIN-M-01:L:L+corpus	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0129	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:DIN-M-01:AGREGADO	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0130	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-01:R	GEN2	RESULT-R-FAM-M-01-PUNTO	pin	RELEVADA-PREVIA	pin de mesa firmado ya aplicado (TANDA-3/4)	—
marco_del_duelo	RES-0131	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-01:M	GEN2	RESULT-DFVEJEZ-A-P-RECIBE	pin	RELEVADA-PREVIA	pin de mesa firmado ya aplicado (TANDA-3/4)	—
marco_del_duelo	RES-0132	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-01:L:L-solo	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0133	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-01:L:L+corpus	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0134	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-01:AGREGADO	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0135	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-05:R	GEN2	RESULT-R-FAM-M-05-PUNTO	pin	RELEVADA-PREVIA	pin de mesa firmado ya aplicado (TANDA-3/4)	—
marco_del_duelo	RES-0136	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-05:M	GEN2	RESULT-B-ENIGH-2022-P	pin	RELEVADA-PREVIA	pin de mesa firmado ya aplicado (TANDA-3/4)	—
marco_del_duelo	RES-0137	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-05:L:L-solo	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0138	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-05:L:L+corpus	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0139	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-05:AGREGADO	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0140	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-06:R	GEN2	RESULT-R-FAM-M-06-PUNTO	pin	RELEVADA-PREVIA	pin de mesa firmado ya aplicado (TANDA-3/4)	—
marco_del_duelo	RES-0141	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-06:M	GEN2	RESULT-B-ENIGH-2022-P	pin	RELEVADA-PREVIA	pin de mesa firmado ya aplicado (TANDA-3/4)	—
marco_del_duelo	RES-0142	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-06:L:L-solo	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0143	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-06:L:L+corpus	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0144	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-06:AGREGADO	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0145	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-07:R	GEN2	RESULT-R-FAM-M-07-PUNTO	pin	RELEVADA-PREVIA	pin de mesa firmado ya aplicado (TANDA-3/4)	—
marco_del_duelo	RES-0146	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-07:M	GEN2	RESULT-B-ENIGH-2022-P	pin	RELEVADA-PREVIA	pin de mesa firmado ya aplicado (TANDA-3/4)	—
marco_del_duelo	RES-0147	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-07:L:L-solo	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0148	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-07:L:L+corpus	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0149	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:FAM-M-07:AGREGADO	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0150	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-02:R	GEN2	RESULT-R-TRA-M-02-PUNTO	pin	RELEVADA-PREVIA	pin de mesa firmado ya aplicado (TANDA-3/4)	—
marco_del_duelo	RES-0151	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-02:M	GEN2	RESULT-ENCIG-MOR-A-P-SOL1	pin	RELEVADA-PREVIA	pin de mesa firmado ya aplicado (TANDA-3/4)	—
marco_del_duelo	RES-0152	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-02:L:L-solo	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0153	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-02:L:L+corpus	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0154	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-02:AGREGADO	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0155	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-03:R	GEN2	RESULT-R-TRA-M-03-PUNTO	pin	RELEVADA-PREVIA	pin de mesa firmado ya aplicado (TANDA-3/4)	—
marco_del_duelo	RES-0156	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-03:M	GEN2	RESULT-ENCIG-MOR-A-P-SOL1	pin	RELEVADA-PREVIA	pin de mesa firmado ya aplicado (TANDA-3/4)	—
marco_del_duelo	RES-0157	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-03:L:L-solo	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0158	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-03:L:L+corpus	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0159	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-03:AGREGADO	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0160	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-07:R	GEN2	RESULT-R-TRA-M-07-PUNTO	pin	RELEVADA-PREVIA	pin de mesa firmado ya aplicado (TANDA-3/4)	—
marco_del_duelo	RES-0161	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-07:M	GEN2	RESULT-ENCIG-MOR-A-P-SOL1	pin	RELEVADA-PREVIA	pin de mesa firmado ya aplicado (TANDA-3/4)	—
marco_del_duelo	RES-0162	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-07:L:L-solo	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0163	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-07:L:L+corpus	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
marco_del_duelo	RES-0164	forense/prereg-duelo-v2/marco-M-sorteado-v1_3.tsv:TRA-M-07:AGREGADO	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: emisión sellada de contendiente L / agregado del marcador; no es medición relevable; propuesta HISTÓRICO-SIN-RELEVO	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-03 (FIRMAS-17)
motor	RES-0165	milpa/src/celdas.py:CORTES_C1:formalidad	LEGACY-GEN1		firma	FUERA-DEL-CONTADOR-B3	partición sellada, no lectura numérica (FIRMAS-16 B3)	—
motor	RES-0166	milpa/src/celdas.py:CORTES_C1:edad	LEGACY-GEN1		firma	FUERA-DEL-CONTADOR-B3	partición sellada, no lectura numérica (FIRMAS-16 B3)	—
motor	RES-0167	milpa/src/celdas.py:CORTES_C1:urbanizacion	LEGACY-GEN1		firma	FUERA-DEL-CONTADOR-B3	partición sellada, no lectura numérica (FIRMAS-16 B3)	—
motor	RES-0168	milpa/src/celdas.py:CORTES_C1:ingreso	LEGACY-GEN1		firma	FUERA-DEL-CONTADOR-B3	partición sellada, no lectura numérica (FIRMAS-16 B3)	—
motor	RES-0169	milpa/src/celdas.py:CORTES_C1:acceso_digital	LEGACY-GEN1		firma	FUERA-DEL-CONTADOR-B3	partición sellada, no lectura numérica (FIRMAS-16 B3)	—
motor	RES-0170	milpa/src/celdas.py:CORTES_C1:migracion	LEGACY-GEN1		firma	FUERA-DEL-CONTADOR-B3	partición sellada, no lectura numérica (FIRMAS-16 B3)	—
celdas_D	RES-0171	data/curacion-registro/celdas-d/DIN.ahorro_solo_informal.enif2024.localidad_x_edad.yaml:DIN.ahorro_solo_informal.enif2024.localidad_x_edad	LEGACY-GEN1		—	NC	PARO-PREMISA: no hay champion GEN2 vigente (NINGUNO o BASELINE GEN1 sin CALC); «RESULT del champion vigente» no existe	GEN2-RELEVO-CONSUMIDORES-3
celdas_D	RES-0172	data/curacion-registro/celdas-d/G5.familismo_obligacion.actitud.yaml:G5.familismo_obligacion.actitud	LEGACY-GEN1		—	NC	PARO-PREMISA: no hay champion GEN2 vigente (NINGUNO o BASELINE GEN1 sin CALC); «RESULT del champion vigente» no existe	GEN2-RELEVO-CONSUMIDORES-3
celdas_D	RES-0173	data/curacion-registro/celdas-d/G5.obligacion_medida.conducta.yaml:G5.obligacion_medida.conducta	LEGACY-GEN1		—	NC	PARO-PREMISA: no hay champion GEN2 vigente (NINGUNO o BASELINE GEN1 sin CALC); «RESULT del champion vigente» no existe	GEN2-RELEVO-CONSUMIDORES-3
celdas_D	RES-0174	data/curacion-registro/celdas-d/G5.radio_confianza.encuci_vs_enbiare.yaml:G5.radio_confianza.encuci_vs_enbiare	LEGACY-GEN1		—	NC	PARO-PREMISA: no hay champion GEN2 vigente (NINGUNO o BASELINE GEN1 sin CALC); «RESULT del champion vigente» no existe	GEN2-RELEVO-CONSUMIDORES-3
celdas_D	RES-0211	data/curacion-registro/celdas-d/GOB.gobierno_digital.encig2025.edad_x_escolaridad.yaml:GOB.gobierno_digital.encig2025.edad_x_escolaridad	LEGACY-GEN1		—	NC	PARO-PREMISA: champion C2 firmado, pero su adjudicación ingiere RESULT de otra corrida; la guarda 4.1 vía (i) rechaza el pin (RECHAZADO-RESULT-INGERIDO)	GEN2-RELEVO-CONSUMIDORES-3
celdas_D	RES-0175	data/curacion-registro/celdas-d/TRA.evade_norma.envipe2025.escolaridad_x_dominio.yaml:TRA.evade_norma.envipe2025.escolaridad_x_dominio	LEGACY-GEN1		—	NC	PARO-PREMISA: no hay champion GEN2 vigente (NINGUNO o BASELINE GEN1 sin CALC); «RESULT del champion vigente» no existe	GEN2-RELEVO-CONSUMIDORES-3
catalogo_de_momentos	RES-0176	milpa/catalogo-momentos-v0_1.tsv:M01	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: AJUSTE sin RESULT de identidad (cotejo-documental-catalogo.md: NO-EQUIVALENTE / PARCIAL / sin instrumento)	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-02 (FIRMAS-17)
catalogo_de_momentos	RES-0177	milpa/catalogo-momentos-v0_1.tsv:M02	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: AJUSTE sin RESULT de identidad (cotejo-documental-catalogo.md: NO-EQUIVALENTE / PARCIAL / sin instrumento)	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-02 (FIRMAS-17)
catalogo_de_momentos	RES-0178	milpa/catalogo-momentos-v0_1.tsv:M03	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: AJUSTE sin RESULT de identidad (cotejo-documental-catalogo.md: NO-EQUIVALENTE / PARCIAL / sin instrumento)	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-02 (FIRMAS-17)
catalogo_de_momentos	RES-0179	milpa/catalogo-momentos-v0_1.tsv:M04	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: AJUSTE sin RESULT de identidad (cotejo-documental-catalogo.md: NO-EQUIVALENTE / PARCIAL / sin instrumento)	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-02 (FIRMAS-17)
catalogo_de_momentos	RES-0180	milpa/catalogo-momentos-v0_1.tsv:M05	LEGACY-GEN1		—	NC	DECISIÓN-DE-MESA-PENDIENTE: derivado sellado, champion NINGUNO y reserva consumida; adoptarlo exige reserva nueva	FP-260925-GEN2-RELEVO-CONSUMIDORES-2-e760-02 (FIRMAS-17)
