coef_id	payload_id	fuente	co_observacion	eje_condicionamiento_disponible	llave_aplicable	veredicto_a4	universo_declarado	comando
N10/G4.horizonte_temporal	enpol2021_fd_pdf	ENPOL 2021, Seccion X "Expectativa de salida"	N	NO-APLICA	NINGUNA	EXISTE-NO-SATISFACE	P10_1-P10_5+ (fd.txt:9684-9760+): logistica concreta de reinsercion (a donde llegar a vivir, si afecta encontrar trabajo/seguir estudiando) -- no es horizonte de planeacion/descuento temporal general, es expectativa puntual de reinsercion post-reclusion. Ademas universo = poblacion privada de la libertad de 18+ (fd.txt:129, "poblacion de 18 anos y mas privada de la libertad") -- no comparable a poblacion general, exactamente el caso de la regla A-bis 4.	grep -n "EXPECTATIVA DE SALIDA" fd_enpol2021.txt
N8/G4.exposicion_violencia	enpol2021_fd_pdf	ENPOL 2021, Secciones III/IV (P3_18_XX, P4_3A_XX) y VIII (P8_4/P8_5)	N	NO-APLICA (universo no poblacional)	NINGUNA	EXISTE-NO-SATISFACE	Universo restringido, declarado explicitamente (regla A-bis 4): poblacion de 18+ PRIVADA DE LA LIBERTAD (fd.txt:129), no poblacion general. Dos bloques de violencia existen y NINGUNO sirve como reactivo poblacional de exposicion_violencia: (a) P3_18_01-05/P4_3A_1-8 = violencia ejercida por LA POLICIA O AUTORIDAD durante la detencion/estancia en MP contra la persona que luego resulto privada de la libertad -- universo = arrestados, mecanismo = violencia estatal, no victimizacion por delito comun; (b) P8_4/P8_5 (Seccion VIII, corrupcion interna del Centro) = "denuncio?" / razon de no denunciar incl. "por miedo a represalias, incluso juridicas" -- candidato YA encontrado y documentado (forense/notas/2026-08-05-m3-lote-b3-diez-reactivos.md:101, manifiesto usado_para de enpol2021_fd_pdf) para R10.3/ver_oir_callar, universo NO coincidente (corrupcion sufrida por el interno dentro del centro, no testigo de delito en poblacion general) -- verificado y reproducido en esta sesion contra el FD real, no redescubierto. Ademas verificado contra el microdato real (bd_enpol_2021_csv.zip, 7 tablas ENPOL2021_SOC/2_3/4/5/6/7/8_9_10_11, coincide con el FD): header de ENPOL2021_8_9_10_11.csv confirma P8_4 y P8_5 presentes tal cual.	grep -n "P8_4\b\|P8_5\b" fd_enpol2021.txt ; header ENPOL2021_8_9_10_11.csv
N14/G5.radio_confianza	enbiare2021_bd_csv_zip	ENBIARE 2021, TENBIARE, n=31166	S	FAC_ELE, EST_DIS, UPM_DIS confirmadas (diseno completo)	NINGUNA	EXISTE-SATISFACE	PB1_01 (confia en la mayoria de la gente) media 5.26/10 contra PB1_02 (confia en la gente que usted conoce) media 7.56/10, r=0.57, n=31166; y el par independiente PB2_1 (la familia siempre ayuda) Si=29204/No=1921 contra PB2_2 (amigos o no-familia siempre ayudan) Si=22788/No=8378. Verificado contra celdas reales. ADR-109(d) revoco REL-51392f82 a EXISTE-NO-SATISFACE con razon_gate literal 'radio_confianza exige el contraste, no un item' -- y el contraste es la variable INMEDIATAMENTE SIGUIENTE de la misma bateria, que el pipeline E2 (declarado sin abrir microdatos) nunca evaluo como par. NO revoca ADR-109(d): propone un objeto distinto, el PAR, que decide la mesa	python3 -c "import zipfile,pandas as pd; z=zipfile.ZipFile('data/raw/enbiare2021/enbiare_2021_base_de_datos_csv.zip'); df=pd.read_csv(z.open('TENBIARE.csv'),usecols=['PB1_01','PB1_02','PB2_1','PB2_2'],encoding='latin-1'); print(df.PB1_01.mean(),df.PB1_02.mean(),df.PB1_01.corr(df.PB1_02))"
N15/G6.deferencia	encup_2012_base_datos_xlsx	ENCUP 2012, n=3750	S	sexo; edad	NINGUNA	EXISTE-NO-SATISFACE	Las 5 olas de cuestionario ENCUP (2001-2012) mas el microdato 2012 leidos completos por primera vez: el manifiesto declara usado_para 'No leida ni evaluada esta sesion' para los 6 payloads, y C-bis (3/ago) la dejo NO DETERMINABLE por no tenerla en disco. Cierra la candidata a SIN REACTIVO, no a NO DETERMINABLE. Unico item de obediencia es LEGAL (P44A, obedecer siempre las leyes aun injustas; 6c en 2001), mismo defecto de objeto que ya excluyo AP5_11 en Encargo C: autoridad legal-politica no es jerarquia interpersonal. Criterio aplicado sin relajarlo	python3 -c "import openpyxl; wb=openpyxl.load_workbook('data/raw/encup_2012_base_datos_xlsx.xlsx',read_only=True)"
N1/G1.confianza_institucional	encup_2012_base_datos_xlsx	ENCUP 2012, n=3750	N	sexo; edad	NINGUNA	EXISTE-SATISFACE	Bateria P30_1..P30_27 (escala 0-10, que tanto confia en...): Ejercito y militares (componente seguridad), IFE y partidos (componente electoral), jueces, SCJN y policia (componente justicia): 3 de los 6 componentes del vector de N1. Sin item explicito de salud, educacion ni banca. Es alternativa NO explotada a ENCIG, con 27 items contra los de ENCIG, sobre un instrumento que nadie habia leido	python3 -c "import openpyxl; wb=openpyxl.load_workbook('data/raw/encup_2012_base_datos_xlsx.xlsx',read_only=True); ws=wb['BaseDatos_ENCUP_2012_Final']; h=next(ws.iter_rows(max_row=1,values_only=True)); print([x for x in h if x and 'confia en' in str(x).lower()])"
N1/G1.confianza_institucional	encig2017_estructura_base_datos_pdf	ENCIG 2017, estructura de base de datos	S	no verificado en esta sesion	NINGUNA	EXISTE-NO-SATISFACE	Limite temporal de la ruta sellada de N1. P8_3_1/2/3 (bateria de soborno) es identica de 2017 a 2025, pero P11_1_23 (confianza en servidores publicos) NO aparece bajo ese mnemonico en 2017 (0 hits). La pareja P11_1_23 x P8_3_* se confirmo en 2019, 2021, 2023 y 2025. No se revisaron mnemonicos alternos para 2017	pdftotext -layout data/raw/encig17_estructura_base_datos.pdf - | command grep -c P11_1_23
N15/G6.deferencia	za7600_v3_0_0_dta	ISSP Social Inequality V 2019 (ZA7600)	N	NO-APLICA	NINGUNA	EXISTE-NO-SATISFACE	Barrido de deferencia sobre ISSP nunca se habia hecho: no estaba entre las 4 candidatas de C-bis (3/ago, ISSP llego el 12/ago) y APERTURA-ISSP (13/ago) cubrio necesidades 3.11/4.6/10/12/13/14, ninguna es deferencia. Cero coincidencias de obedien|authorit|hierarch en los cuestionarios q_mx de ZA5900 y ZA6980 y en las 357 etiquetas de variable de ZA7600. Ademas ZA7600 NO TIENE MEXICO en la muestra (29 paises, verificado contra la variable country real): confirma, no refuta, el usado_para del manifiesto	python3 -c "pandas.read_stata sobre ZA7600, columna country"
N15/G6.deferencia	f00006635_wvs7_questionnaire_mexico_2018_spanish	WVS Ola 7 Mexico 2018	N	NO-VERIFICADO	NINGUNA	EXISTE-NO-SATISFACE	Payload etiquetado N5,N15 en el censo con estado REFERENCIADO-NO-ABIERTO: nunca leido. Abierto en esta sesion (449 lineas via pdftotext). Trae DOS items de autoridad en el mismo cuestionario: item 17 Obediencia (misma familia Inglehart que el P4NOIJ de Latinobarometro) e item 45 Mayor respeto por la autoridad. Ninguno mide jerarquia interpersonal, y sigue sin desenlace de G6: el barrido iniciativa|jefe|supervisor|autonom|queja|retroalimenta da un unico hit, firmar una peticion o iniciativa, que es participacion civica	pdftotext -layout F00006635-WVS7_Questionnaire_Mexico_2018_Spanish.pdf - | command grep -ni obedien
N13/G5.familismo_obligacion	enut2024_bd_csv	ENUT 2024, tmodulo join tsdem join tvar_crea por LLAVEHOG+N_REN	S	sexo; PAREN; edad; LLAVEHOG	NINGUNA	EXISTE-SATISFACE	EL CONTRASTE INTRA-HOGAR DE ADR-30 ES CONSTRUIBLE. canon/modelo-decision-v4_0.md declara que el check obligatorio de ADR-30 exige el contraste apoyo/obligacion dentro del hogar (la hija cuidadora carga obligacion mientras su hermano recibe apoyo bajo el mismo techo) y que ese contraste cae en la dimension que los tres ejes de hogar no resuelven, por lo que el hallazgo PERSISTE. Con microdato real: el join LLAVEHOG+N_REN entre tmodulo y tsdem es 100 pct limpio (74053/74053); hay 3290 hogares con un hijo Y una hija (ambos PAREN=3) presentes a la vez; usando la derivada de INEGI CUID_ESP_INT_HOG_CON_CP, entre quienes cuidan las hijas dan mediana 9.0 h/sem contra 5.0 los hijos (medias 16.7 contra 8.2) y cuidan mas hijas que hijos (397 contra 325 sobre los mismos 8054). Cifras EXPLORATORIAS sin ponderar: no son estimacion poblacional. ASOCIACION, no identificacion	python3 -c "merge tmodulo+tsdem+tvar_crea por LLAVEHOG,N_REN; PAREN==3; hogares con SEXO 1 y 2; groupby SEXO sobre CUID_ESP_INT_HOG_CON_CP"
N12/G5.familismo_apoyo	enut2024_bd_csv	ENUT 2024, tmodulo P6_16_1..6 y derivada APOY_HOG_FAM	N	sexo; edad; TLOC; FAC_PER; EST_DIS; UPM_DIS	NINGUNA	EXISTE-SATISFACE	Candidato NUEVO y no triangulado, con UNIVERSO PLENO n=74053 y sin filtro (confirmado: no existe FILTRO_S6_16), mas amplio que cualquier reactivo hoy asignado a N7 o N12. Mide la direccion DAR (ayuda gratuita a otro hogar de un familiar) frente a la direccion RECIBIR de ENIF P9_9_1..6. INEGI mismo la nombra Apoyo a otros hogares de familiares en tvar_crea. El glosario define familismo_apoyo con pooling de cuidado, que este item instancia literalmente. Aplica igual a N7/G3	python3 -c "pandas sobre tmodulo.csv, columnas P6_16_1..6 y FAC_PER"
N13/G5.familismo_obligacion	enut2019_bd_csv	ENUT, las 5 olas 2002/2009/2014/2019/2024	N	varia por ola	NINGUNA	EXISTE-NO-SATISFACE	TRES formatos de instrumento distintos, no una serie: 2002 sin unificar, dos baterias separadas J1..J6 (cuidado a integrante con limitacion) y K1..K10 (cuidado a nino del hogar), horas en un campo continuo; 2009 por bandas de edad del receptor (P5_11 menores de 6, P5_12 menores de 15, P5_13 de 60 y mas), no por discapacidad o enfermedad; 2014 y 2019 identicos entre si, filtro de UNA condicion y 11 items P6_11_01..11 (2019: n=6082/71404=8.52 pct); 2024 filtro de DOS condiciones (P3_7=1 o P3_8 en 1,2) y 14 items, con 3 nuevos que en 2014/2019 vivian comprimidos en el item 11. No hay serie comparable sin reconstruccion, y 2002/2009 no son reconstruibles al esquema 2014-2024 sin perder informacion	python3 -c "xlrd sobre enut2014_fd.xls hoja TModulo2; columnas reales de TMODULO.csv de 2019"
N15/G6.deferencia	adolescentes_ensanut2024_w_csv_csv	ENSANUT 2024 adolescentes, Seccion 9 DISCIPLINA	S	sexo; edad 10-14; estrato; upm; ponde_f	NINGUNA	EXISTE-NO-SATISFACE	Seccion nunca antes tocada (usado_para: sin uso asignado). d0901a..k, 11 formas de castigo parental recibido en el ultimo mes, mas d0902, creencia normativa (cree que para criar correctamente se debe castigar fisicamente). n=1944 de 3730 (edad 10-14), universo mucho menos restringido que la Seccion 8 filtrada por dano a la salud (n=68). Ponderado: 8.9 pct recibio golpe con objeto o cinturon en el ultimo mes, 2.3 pct recibio paliza, 10.0 pct aprueba el castigo fisico. FRONTERA: mide norma de crianza autoritaria, no deferencia del propio respondente hacia una autoridad, que es el constructo de N15	python3 -c "pandas sobre adolescentes_ensanut2024_w.csv, columnas d0901g,d0901k,d0902,ponde_f"
N2/G1.radio_confianza	116334_v1	Compartamos Banco, RCT de Angelucci/Karlan/Zinman (AEJ)	S	edad; tam_loc urbano; cluster	DISENO-EXPERIMENTAL-TERCEROS	EXISTE-SATISFACE	VERIFICADO POR EL SUPERVISOR contra el .dta real (21523 filas, 124 columnas): Treatment 0/1 asignado por cluster; Q15_2_mean_people (confianza en gente: familia, vecinos, conocidos, extranios, gente que pide prestado -- el mismo circulo concentrico que declara radio_confianza) tiene 0 no-nulos en 'Baseline only' y 16558 en 'Endline'; reparto endline 8298 control / 8262 tratamiento. Es una llave (iii) de ADR-57(c) REAL y viva en disco. FRONTERA DE DIRECCION, que decide para que sirve: aqui el credito esta aleatorizado y la CONFIANZA es el DESENLACE. El generador G1a va al reves (la confianza es el driver, la adopcion el desenlace). Identifica credito->confianza, no confianza->adopcion. Usarlo como instrumento de theta exigiria restriccion de exclusion (que el credito afecte el desenlace SOLO via confianza), implausible de entrada: el microcredito opera por muchos canales. NO ADJUDICADO	python3 -c "import zipfile,io,pandas as pd; z=zipfile.ZipFile('/mnt/c/Users/PC0/Descargas MX/Descargas Manuales/116334-V1.zip'); df=pd.read_stata(io.BytesIO(z.read('Compartamos_AEJ/Main/data/analysis_data_AEJ_pub.dta')),convert_categoricals=False); print(df.groupby('survey')[['Q15_2_mean_formal','Q15_2_mean_people']].count()); print(df.groupby(['survey','Treatment']).size())"
N1/G1.confianza_institucional	116334_v1	Compartamos Banco, RCT de Angelucci/Karlan/Zinman (AEJ)	S	edad; tam_loc urbano; cluster	DISENO-EXPERIMENTAL-TERCEROS	EXISTE-SATISFACE	Q15_2_mean_formal (confianza en instituciones: gobierno, sistema financiero, bancos), mismo diseno y mismo endline que la fila de N2, verificado por el supervisor: 0 no-nulos en Baseline only, 16530 en Endline. MISMA FRONTERA DE DIRECCION que N2: la confianza es el desenlace del tratamiento aleatorizado, no la exposicion que el coeficiente necesita	igual que la fila de N2/G1.radio_confianza
N10/G4.horizonte_temporal	gps_dataset	Global Preferences Survey (Falk et al.), Gallup World Poll 2012	N	sexo; edad	NINGUNA	EXISTE-SATISFACE	individual_new.dta, variable patience, n=1000 Mexico; el reactivo [WP13418]-A confirmado en GPS_Spanish_Mexico.pdf, escala 0-10 validada contra conducta real en el diseno original. TERCER candidato independiente para N10, que el censo v1.2 declara SIN-RUTA por 'sin reactivo dedicado' -- los otros dos son Banxico ENCFIN COND2 y las variables impatient_now/present_bias_dum del RCT de Compartamos. Sin desenlace de G4 co-observado en el mismo instrumento	python3 -c "pandas.read_stata('individual_new.dta'), columna patience"
N10/G4.horizonte_temporal	116334_v1	Compartamos Banco, RCT (AEJ) -- variables de linea base	S	edad; tam_loc; cluster	NINGUNA	EXISTE-SATISFACE	impatient_now y present_bias_dum, confirmadas de LINEA BASE (4924/4907 en baseline contra 1810/1807 en endline), es decir covariables pre-tratamiento y no desenlaces de cierre. Segundo candidato de N10. La llave del RCT no aplica aqui: la impaciencia se mide antes de aleatorizar, de modo que no hay variacion exogena en ella	igual que la fila de N2, contando impatient_now por survey
N13/G5.familismo_obligacion	elcos2012_fd_xls	ELCOS 2012 (INEGI e INMUJERES), cuestionario Mujer elegida	S	segsoc por proxy P8_7_1; universo restringido a mujeres	NINGUNA	EXISTE-SATISFACE	Co-observacion real en el mismo instrumento y la misma informante: Seccion IV Apoyo y cuidado (P4_2, P4_3, P4_5, P4_6, P4_7_1-4, P4_9, P4_10, incluida la DISTRIBUCION de la carga: unica / mas tiempo / menos / todos igual) cruzada con Seccion VII Contexto laboral, con dos puentes textuales directos: P7_2 codigo 9 (se dedica a los quehaceres del hogar y/o al cuidado) como categoria de SALIDA del mercado laboral, y P7_3 codigo 03 (permiso para cuidar a alguna persona de su hogar o de su familia) como razon de ausencia. UNIVERSO RESTRINGIDO Y DECLARADO: las secciones IV a X solo aplican a la mujer elegida del hogar, de modo que no se compara contra poblacional. Sigue siendo ASOCIACION: sin panel, sin aleatorizacion, sin experimento natural. Conducta, no actitud: misma frontera que ENUT, ENASEM y EDER	xlrd sobre data/raw/elcos2012/elcos_fd.xls, hoja 'Mujer elegida', filas 43-106 y 509-846
N15/G6.deferencia	f00013146_wvs_wave_7_mexico_csv_v5_1	WVS Ola 7 Mexico 2018, microdato y codebook	N	sexo; edad; tam_loc	NINGUNA	EXISTE-NO-SATISFACE	CORRECCION DEL SUPERVISOR SOBRE EL BARRIDO: el agente de este cluster propuso EXISTE-SATISFACE alegando que Q17 (Obedience, n=1741, 57.1 pct Important) queda co-observado con la bateria de accion politica Q209-Q212 y que eso cierra la cola de deferencia. No se acepta. Los desenlaces declarados de G6 son trabajo.jerarquia.deferencia_iniciativa_suprimida y comunicacion.retroalimentacion.privada_publica_capital_social: jerarquia laboral y retroalimentacion, no participacion politica. El barrido independiente del cluster de gobierno llego a la misma conclusion examinando el mismo instrumento (unico hit cercano: firmar una peticion o iniciativa, que es civico y no jerarquico). El reactivo Q17 SI existe y es de la misma familia Inglehart que el proxy ya aceptado de Latinobarometro; lo que falta sigue siendo el DESENLACE	pdftotext -layout codebook WVS7 - | command grep -A12 'Q17-'
N11/G4.sens_estatus	mmsi_2016_cuestionario	MMSI 2016, Modulo de Movilidad Social Intergeneracional	N	sexo; edad restringida 24-65	NINGUNA	EXISTE-NO-SATISFACE	Correccion de triaje del propio barrido: MMSI NO es de establecimiento sino de PERSONA (modulo anexo a la Encuesta Nacional de los Hogares, folio de informante 24-65 anios). Trae Seccion 12, escalera subjetiva de estatus 1-10 (propio, a los 14 anios, esperado para los hijos), lo mas cercano a sens_estatus que aparecio en todo el barrido. FRONTERA: es posicion social autopercibida, no SENSIBILIDAD al estatus, que es lo que el coeficiente define. 0 hits de confianza, familismo, riesgo, obediencia y violencia en 1841 lineas. La busqueda de reactivo de sens_estatus sigue cerrada por ADR-54 y este acto no la reabre	pdftotext -layout inegi_mmsi_2016/cuestionario_mmsi_2016.pdf - | command grep -ni escalera
N1/G1.confianza_institucional	enaproce_2015_ejem_base_micro_ciega_csv	ENAPROCE 2015 y 2018 (10 payloads) y ENESTYC 1992-2005 (15 payloads)	N	NINGUNO	NINGUNA	EXISTE-NO-SATISFACE	Descartadas por UNIDAD DE OBSERVACION, no por ausencia de variable: el veredicto correcto es EXISTE-NO-SATISFACE, no NO-ENCONTRADO. ENAPROCE: texto literal de las paginas 330 y 518 del catalogo RNM, 'La unidad de observacion es la empresa'. ENESTYC: sin descriptor RNM archivado en el corpus, pero la estructura del .dta real es inequivoca (folio consec de establecimiento, modulos desagregados por trabajador _h y _m); se declara con menor certeza que ENAPROCE, por evidencia estructural y no por texto de catalogo. Un coeficiente psicologico de persona no puede vivir en un instrumento de establecimiento: aplica a los 15 por igual, no solo a N1	regex sobre el HTML de RNM 330/518; pandas.read_stata(...).variable_labels() sobre ENESTYC
N2/G1.radio_confianza	za6980_v2_0_0_dta	ISSP Social Networks 2017 (ZA6980), Mexico n=1002	N	NO-VERIFICADO	NINGUNA	EXISTE-NO-SATISFACE	v35/Q11 verificado contra el .dta real y contra el cuestionario q_mx: es confianza generalizada de un solo polo. CONFIRMA el razon_gate sellado por ADR-109(d) sobre REL-72ff714a: Q11 no gradua el contraste conocidos/desconocidos. Nota: esto NO contradice la medicion B-bis de este acto sobre ENBIARE, que evalua un instrumento distinto y un par de items, no un item de ISSP	python3 -c "pandas.read_stata sobre ZA6980, columnas country y v35"
N4/G2.aversion_riesgo	engasto2012_engasto12_fd	ENGASTO 2012 y Banxico ENCFIN 2024	N	est_socio; tam_loc	NINGUNA	NO-ENCONTRADO-EN-UNIVERSO-INSPECCIONADO	Aplica igual a N6/G3.aversion_riesgo, que comparte la misma busqueda cerrada por ADR-52 A. Universo inspeccionado: engasto12_fd.pdf integro (8411 lineas, 7 tablas, ~391 etiquetas de variable) mas el header real de hogar.dbf (161 campos, 58951 registros) mas las 145 columnas de la ENCFIN 2024. Terminos: riesgo, arriesg, perdida, seguro, azar, apostar, loteria, cauteloso, conservador, imprevisto, emergencia. Unicos hits reales de 'seguro' son tenencia y financiamiento de vivienda: cero reactivo de disposicion al riesgo. La busqueda sigue cerrada y este acto NO la reabre; se registra la cobertura, no una propuesta	pdftotext -layout data/raw/engasto2012/engasto12_fd.pdf - | command grep -nci "riesgo|arriesg|azar|apostar|cauteloso"
