unidad	ruta	sha256_recalculado	linea	marca_tier	pasaje
TIER-612e931c-L10	corpus/reports/La_arquitectura_invisible_de_la_interacción_social_en_México.md	612e931c0baa104be6f0c01246a8857ebb2dfde0cefa973c9b9258071bd5d357	10	[MEDIA]	> El hallazgo de Castillo (2019) —menor disposición a perdonar ofensas que amenazan la reputación— **es real y se conserva `[MEDIA]`**. Lo que se retira es la inferencia de que eso convierte a México en "cultura de honor". Los mexicanos **se autoperciben como cultura de dignidad**, no de honor (Smith et al. 2017, *Acta de Investigación Psicológica*, UNAM: México 2.º en dignidad, 5.º en honor, 8.º en face de 9 muestras), y dignidad y face **correlacionan r=.96** — no son polos entre los que haya que elegir.
TIER-8d989005-L62	corpus/reports/Psicología_Política_y_Comportamiento_Cívico_del_Mexicano_Contemporáneo__Una_Lectura_Anti-Esencialista_desde_Abajo__2026_.md	8d98900588d3f07e05839c2252c8b0945ecd405512d47cf43f55cae90738d4a0	62	[MEDIA]	**[MEDIA]:**
TIER-8d989005-L68	corpus/reports/Psicología_Política_y_Comportamiento_Cívico_del_Mexicano_Contemporáneo__Una_Lectura_Anti-Esencialista_desde_Abajo__2026_.md	8d98900588d3f07e05839c2252c8b0945ecd405512d47cf43f55cae90738d4a0	68	[HIPÓTESIS RAZONABLE]	**[HIPÓTESIS RAZONABLE]:**
TIER-8d989005-L72	corpus/reports/Psicología_Política_y_Comportamiento_Cívico_del_Mexicano_Contemporáneo__Una_Lectura_Anti-Esencialista_desde_Abajo__2026_.md	8d98900588d3f07e05839c2252c8b0945ecd405512d47cf43f55cae90738d4a0	72	[NARRATIVA POPULAR]	**[NARRATIVA POPULAR] (a vigilar y desmontar):**
TIER-8d989005-L262	corpus/reports/Psicología_Política_y_Comportamiento_Cívico_del_Mexicano_Contemporáneo__Una_Lectura_Anti-Esencialista_desde_Abajo__2026_.md	8d98900588d3f07e05839c2252c8b0945ecd405512d47cf43f55cae90738d4a0	262	[HIPÓTESIS RAZONABLE]	- **SI** transferencia directa universal no condicionada **ENTONCES** el ciudadano la vive como derecho/gratitud al líder pero conserva autonomía de voto — PORQUE no hay monitoreo ni broker — **[HIPÓTESIS RAZONABLE]**.
TIER-96b842bb-L31	corpus/reports/Psicología_de_la_Juventud_Mexicana_Contemporánea__Gen_Z_y_Millennials_Jóvenes_como_Cohorte_Divergente.md	96b842bba10353112c2e8b9be36351770bb7e97701d54f273c16d7e822a63261	31	**sólidos**	Los tres más **sólidos**: retraso de la emancipación, caída de la fecundidad adolescente y crisis de salud mental femenina. Los tres más **malinterpretados**: "nini", "nativos digitales" y el supuesto rechazo a la jerarquía. Los tres de mayor **utilidad práctica**: segmentar en vez de hablar de "la Gen Z", diseñar para la exigencia de justificación de la autoridad, y atender la salud mental de mujeres jóvenes.
TIER-96b842bb-L68	corpus/reports/Psicología_de_la_Juventud_Mexicana_Contemporánea__Gen_Z_y_Millennials_Jóvenes_como_Cohorte_Divergente.md	96b842bba10353112c2e8b9be36351770bb7e97701d54f273c16d7e822a63261	68	**NARRATIVA POPULAR**	**NARRATIVA POPULAR** (débil): "nativos digitales" (competencia digital homogénea); "generación de cristal"; "los jóvenes ya no quieren trabajar"; "los ninis son jóvenes ociosos".
TIER-b49daaca-L9	corpus/reports/Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md	b49daaca43463014dbd9091819bc84dad6357b9e4ecf6b310e8956e6d7a6a69f	9	tier baja de `Fuerte` a `MEDIA	> **Corrección 1 · Hofstede pasa de CAUSA a CORRELATO DESCRIPTIVO, y su tier baja de `Fuerte` a `MEDIA (c)`.**
TIER-b49daaca-L52	corpus/reports/Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md	b49daaca43463014dbd9091819bc84dad6357b9e4ecf6b310e8956e6d7a6a69f	52	| **Fuerte** |	| Calidad > precio (2:1) en todos los NSE | **Fuerte** | Roland Berger 2024 (encuesta amplia), McKinsey 2023 |
TIER-b49daaca-L53	corpus/reports/Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md	b49daaca43463014dbd9091819bc84dad6357b9e4ecf6b310e8956e6d7a6a69f	53	| **Fuerte** |	| Solo 4% cambia a marcas más baratas | **Fuerte** | McKinsey 2012 (n=2,200 en 4 ciudades) |
TIER-b49daaca-L54	corpus/reports/Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md	b49daaca43463014dbd9091819bc84dad6357b9e4ecf6b310e8956e6d7a6a69f	54	| **Fuerte** |	| 57% consumidores aspiracionales | **Fuerte** | GWI datos globales |
TIER-b49daaca-L55	corpus/reports/Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md	b49daaca43463014dbd9091819bc84dad6357b9e4ecf6b310e8956e6d7a6a69f	55	| **Fuerte** |	| Confianza interpersonal 12% | **Fuerte** | WVS Wave 6 (2012), Latinobarómetro |
TIER-b49daaca-L56	corpus/reports/Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md	b49daaca43463014dbd9091819bc84dad6357b9e4ecf6b310e8956e6d7a6a69f	56	| **Fuerte** |	| 82% prefiere efectivo | **Fuerte** | PCMI 2024, ENIF 2025 |
TIER-b49daaca-L57	corpus/reports/Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md	b49daaca43463014dbd9091819bc84dad6357b9e4ecf6b310e8956e6d7a6a69f	57	| **Fuerte** |	| Marcas privadas solo 5% de retail | **Fuerte** | Kantar Brand Footprint 2024, Nielsen |
TIER-b49daaca-L58	corpus/reports/Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md	b49daaca43463014dbd9091819bc84dad6357b9e4ecf6b310e8956e6d7a6a69f	58	| **Fuerte** |	| WhatsApp 92.2% penetración | **Fuerte** | Statista 2024, AMVO |
TIER-b49daaca-L59	corpus/reports/Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md	b49daaca43463014dbd9091819bc84dad6357b9e4ecf6b310e8956e6d7a6a69f	59	| **Fuerte** |	| 66% compra por influencers | **Fuerte** | IZEA 2024 (n=1,052) |
TIER-b49daaca-L60	corpus/reports/Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md	b49daaca43463014dbd9091819bc84dad6357b9e4ecf6b310e8956e6d7a6a69f	60	| **Fuerte** |	| E-commerce MXN $941B (2025) | **Fuerte** | AMVO 2025, La Jornada marzo 2026 |
TIER-b49daaca-L62	corpus/reports/Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md	b49daaca43463014dbd9091819bc84dad6357b9e4ecf6b310e8956e6d7a6a69f	62	| **Fuerte** |	| MSI es 20% de saldos de tarjeta | **Fuerte** | Banco de México |
TIER-b49daaca-L64	corpus/reports/Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md	b49daaca43463014dbd9091819bc84dad6357b9e4ecf6b310e8956e6d7a6a69f	64	**Fuerte**	| Desigualdad → consumo compensatorio (rama estatus) | **Fuerte** ⚠️ *sin sostén por procedencia* — experimento CIMCYC/Universidad de Granada, no población mexicana (`FP-38`, corregido 18/ago/2026) | Velandia-Morales 2022, Frontiers in Psychology |
TIER-b49daaca-L67	corpus/reports/Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md	b49daaca43463014dbd9091819bc84dad6357b9e4ecf6b310e8956e6d7a6a69f	67	| **Fuerte** |	| OXXO procesa 50% pagos efectivo e-commerce | **Fuerte** | EBANX, PCMI |
TIER-b49daaca-L68	corpus/reports/Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md	b49daaca43463014dbd9091819bc84dad6357b9e4ecf6b310e8956e6d7a6a69f	68	| **Narrativa popular** |	| "Marca patito" como estigma | **Narrativa popular** | Conocimiento cultural, evidencia formal limitada |
TIER-6dc7d7a8-L54	corpus/reports/Psychology_of_Mexico-US_Migration__Identity__Family__Aspiration__and_Wellbeing_in_2025.md	6dc7d7a863f3981841b5af3653e748bba2c690bdb6c87c5fa8cee64d09716c9e	54	| **FUERTE** |	| Caída de remesas 4.6% en 2025 (61,791 mdd) | **FUERTE** | Banxico; BBVA Research; Banco BASE |
TIER-6dc7d7a8-L55	corpus/reports/Psychology_of_Mexico-US_Migration__Identity__Family__Aspiration__and_Wellbeing_in_2025.md	6dc7d7a863f3981841b5af3653e748bba2c690bdb6c87c5fa8cee64d09716c9e	55	| **FUERTE** |	| Remesas ≈ 3.4% del PIB (2025) | **FUERTE** | Banxico; Banco BASE; Bloomberg |
TIER-6dc7d7a8-L56	corpus/reports/Psychology_of_Mexico-US_Migration__Identity__Family__Aspiration__and_Wellbeing_in_2025.md	6dc7d7a863f3981841b5af3653e748bba2c690bdb6c87c5fa8cee64d09716c9e	56	| **FUERTE** |	| Remesas = fondo salarial de consumo, no motor de desarrollo | **FUERTE** | Canales; De Haas; SciELO |
TIER-6dc7d7a8-L57	corpus/reports/Psychology_of_Mexico-US_Migration__Identity__Family__Aspiration__and_Wellbeing_in_2025.md	6dc7d7a863f3981841b5af3653e748bba2c690bdb6c87c5fa8cee64d09716c9e	57	| **FUERTE** |	| Separar efecto en el que se va vs. el que se queda | **FUERTE** | Achotegui; Dreby; Rivera-Heredia |
TIER-6dc7d7a8-L58	corpus/reports/Psychology_of_Mexico-US_Migration__Identity__Family__Aspiration__and_Wellbeing_in_2025.md	6dc7d7a863f3981841b5af3653e748bba2c690bdb6c87c5fa8cee64d09716c9e	58	**FUERTE**	| Cultura de la migración en regiones tradicionales | **FUERTE** (existencia) / **MEDIO** (interpretación) | Kandel y Massey |
TIER-6dc7d7a8-L59	corpus/reports/Psychology_of_Mexico-US_Migration__Identity__Family__Aspiration__and_Wellbeing_in_2025.md	6dc7d7a863f3981841b5af3653e748bba2c690bdb6c87c5fa8cee64d09716c9e	59	| **FUERTE** |	| Estatus migratorio modula ansiedad y circularidad | **FUERTE** | MPI; Pew; Calva-Alarcón |
TIER-6dc7d7a8-L60	corpus/reports/Psychology_of_Mexico-US_Migration__Identity__Family__Aspiration__and_Wellbeing_in_2025.md	6dc7d7a863f3981841b5af3653e748bba2c690bdb6c87c5fa8cee64d09716c9e	60	| **MEDIO** |	| Retorno cambia consumo/identidad | **MEDIO** | SciELO; COLEF; Jacobo Suárez |
TIER-6dc7d7a8-L61	corpus/reports/Psychology_of_Mexico-US_Migration__Identity__Family__Aspiration__and_Wellbeing_in_2025.md	6dc7d7a863f3981841b5af3653e748bba2c690bdb6c87c5fa8cee64d09716c9e	61	| **MEDIO** |	| Hogares jefatura femenina → autonomía ambivalente | **MEDIO** | SciELO (Zacatecas, Edomex, Guanajuato) |
TIER-6dc7d7a8-L62	corpus/reports/Psychology_of_Mexico-US_Migration__Identity__Family__Aspiration__and_Wellbeing_in_2025.md	6dc7d7a863f3981841b5af3653e748bba2c690bdb6c87c5fa8cee64d09716c9e	62	| **MEDIO** |	| Daño en niños que se quedan | **MEDIO** | Rivera-Heredia et al. (*Salud Mental*) |
TIER-6dc7d7a8-L63	corpus/reports/Psychology_of_Mexico-US_Migration__Identity__Family__Aspiration__and_Wellbeing_in_2025.md	6dc7d7a863f3981841b5af3653e748bba2c690bdb6c87c5fa8cee64d09716c9e	63	| **FUERTE** |	| Daño en niños de estatus mixto por deportación | **FUERTE** | Rojas-Flores; SRCD; Urban Institute; Brookings |
TIER-6dc7d7a8-L64	corpus/reports/Psychology_of_Mexico-US_Migration__Identity__Family__Aspiration__and_Wellbeing_in_2025.md	6dc7d7a863f3981841b5af3653e748bba2c690bdb6c87c5fa8cee64d09716c9e	64	| **FUERTE** |	| Desplazamiento forzado interno +129% en 2024 | **FUERTE** | PDH IBERO/ACNUR "Travesías Forzadas" |
TIER-6dc7d7a8-L65	corpus/reports/Psychology_of_Mexico-US_Migration__Identity__Family__Aspiration__and_Wellbeing_in_2025.md	6dc7d7a863f3981841b5af3653e748bba2c690bdb6c87c5fa8cee64d09716c9e	65	| **MEDIO** |	| Paradoja del inmigrante | **MEDIO** | literatura de salud pública (SALSA, PAHO) |
TIER-6dc7d7a8-L68	corpus/reports/Psychology_of_Mexico-US_Migration__Identity__Family__Aspiration__and_Wellbeing_in_2025.md	6dc7d7a863f3981841b5af3653e748bba2c690bdb6c87c5fa8cee64d09716c9e	68	| **NARRATIVA POPULAR** |	| "El migrante que abandona" | **NARRATIVA POPULAR** | — |
TIER-6dc7d7a8-L125	corpus/reports/Psychology_of_Mexico-US_Migration__Identity__Family__Aspiration__and_Wellbeing_in_2025.md	6dc7d7a863f3981841b5af3653e748bba2c690bdb6c87c5fa8cee64d09716c9e	125	| Débil |	| Narrativa heroica del migrante | Débil / ambivalente | Débil | **Fuerte** ("nuevos héroes"), acuñada por Corazón Aquino en 1988 | Variable |
TIER-196ec5d4-L9	corpus/reports/Report_26__The_Contemporary_Mexican_and_Knowledge__Expertise__Education_and_Information_as_Decision_Behavior.md	196ec5d4077e855e4ce5e30364e07ab7c6a06efd36232a283f0ac2c8cfd9554c	9	[FUERTE]	**Tiers de evidencia:** `[FUERTE]` = dato primario mexicano reciente o convergencia multi-fuente; `[MEDIA]` = dato primario más antiguo/parcial o secundario sólido; `[HIPÓTESIS RAZONABLE]` = inferencia teórica con apoyo indirecto; `[NARRATIVA POPULAR]` = creencia difundida sin base sólida.
TIER-196ec5d4-L63	corpus/reports/Report_26__The_Contemporary_Mexican_and_Knowledge__Expertise__Education_and_Information_as_Decision_Behavior.md	196ec5d4077e855e4ce5e30364e07ab7c6a06efd36232a283f0ac2c8cfd9554c	63	[MEDIA]	**`[MEDIA]`:**
TIER-196ec5d4-L69	corpus/reports/Report_26__The_Contemporary_Mexican_and_Knowledge__Expertise__Education_and_Information_as_Decision_Behavior.md	196ec5d4077e855e4ce5e30364e07ab7c6a06efd36232a283f0ac2c8cfd9554c	69	[HIPÓTESIS RAZONABLE]	**`[HIPÓTESIS RAZONABLE]`:**
TIER-196ec5d4-L73	corpus/reports/Report_26__The_Contemporary_Mexican_and_Knowledge__Expertise__Education_and_Information_as_Decision_Behavior.md	196ec5d4077e855e4ce5e30364e07ab7c6a06efd36232a283f0ac2c8cfd9554c	73	[NARRATIVA POPULAR]	**`[NARRATIVA POPULAR]`** (a desmontar):
TIER-196ec5d4-L180	corpus/reports/Report_26__The_Contemporary_Mexican_and_Knowledge__Expertise__Education_and_Information_as_Decision_Behavior.md	196ec5d4077e855e4ce5e30364e07ab7c6a06efd36232a283f0ac2c8cfd9554c	180	[NARRATIVA POPULAR desmontada]	1. **"El mexicano no valora el conocimiento."** FALSO: aspiraciones altas, retorno alto, respeto al saber. `[NARRATIVA POPULAR desmontada]`
TIER-fb2ddd66-L18	corpus/reports/Salud_Mental_en_México__Prevalencia__Estigma_y_la_Brecha_entre_Necesidad_y_Atención.md	fb2ddd662f703e8a6752a3dc690bf992741aaaa67c1bdbbf89905aca245a1f18	18	[MÁS SÓLIDOS]	Se marcan los **[MÁS SÓLIDOS]**, los **[MÁS MALINTERPRETADOS]** y los de **[MAYOR UTILIDAD PRÁCTICA]**.
TIER-916eb783-L87	corpus/reports/Sanción_Social_Horizontal_en_México__Chisme__Envidia_y_Mal_de_Ojo_como_Mecanismos_de_Nivelación.md	916eb783b1a23dbafc9136faf1fcac2736b21774264d191c1c1642818f55deb7	87	**Narrativa popular**	**Narrativa popular** (potente socialmente, débil como evidencia científica):
