# DERIVADO — NO EDITAR (tools/nc_por_clase.py, ACTO GEN2-SENAL-1 · P2)
# universo: 177 filas ABIERTA de 446 en forense/no-corrido.tsv
# `SUCESOR-YA-FUSIONADO` es CANDIDATO: no autoriza cerrar. El cierre exige
# evidencia POR PRODUCTO, una fila a la vez. Nunca en bloque.
# ACTO GEN2-SENAL-1 verifico a mano las 20 candidatas mas probables:
# CERO de las 18 SUCESOR-YA-FUSIONADO resistieron. Ver columna
# `verificado_por_producto_en_senal_1`. El campo `sucesor` NO predice el cierre.
id	fecha	acto_que_la_abrio	pr	clase	que_le_falta	evidencia_derivada	verificado_por_producto_en_senal_1	pieza	que_no_se_corrio	sucesor_declarado
NC-0236	2026-09-15	GEN2-REACTIVOS-RESIDUALES-2	#796	ESPERA-ACTO-NOMBRADO	espera GEN2-FIRMAS-MESA-1, GEN2-LOTE-ENCUCI-1, GEN2-VIGENCIA-DEUDA-1 (encargo EXISTE: GEN2-FIRMAS-MESA-1, GEN2-LOTE-ENCUCI-1, GEN2-VIGENCIA-DEUDA-1)	GEN2-FIRMAS-MESA-1=encargo EXISTE · GEN2-LOTE-ENCUCI-1=encargo EXISTE · GEN2-VIGENCIA-DEUDA-1=encargo EXISTE		residual del lote (12875 filas) · las 1153 que bloquean demanda viva	acreditar las 643+451 correspondencias ambiguas y etiquetas tecnicas de envipe2025, las 26+32 de encuci2020 y la etiqueta tecnica de enif2024 que hoy reclaman CORR-0007, CORR-0003 y CORR-0009/0010/0015	CAJA: acto sucesor de NC-0136 que ataque primero las 1153 filas con consumidor declarado, y solo despues las 10182 sin demanda hoy || ENMIENDA FECHADA 2026-09-16 (ACTO GEN2-VIGENCIA-DEUDA-1, PROPUESTA A MESA, no decision del ejecutor): el t
NC-0237	2026-09-15	GEN2-REACTIVOS-RESIDUALES-2	#796	ESPERA-FIRMA	espera FP-374	FP-374=VENCIDA-EN-ALCANCE		panel F6 · R01 MOCIBA · la codificacion no es la misma en las dos olas	fijar universo, codificacion y ponderador de la bateria de denuncia de MOCIBA 2021 y 2023 sabiendo que la numeracion cambia (P12_5 vs P12_05), que la redaccion cambia (Ministerio Publico o policia vs o Fiscalia Estatal) y que 2023 desdobla 	DIFERIDO-A: F6 (no se decide mientras F6 este en espera de acreditacion, FP-374 VENCIDA-EN-ALCANCE)
NC-0244	2026-09-15	GEN2-CAJA-SUCESORES-1		SIN-ASIGNAR	enruta a mesa/dirección sin nombrar acto ni FP: necesita dueño			conflicto de procedencia sobre RES-0047/RES-0049	la re-derivacion de tools/relevo_usos.py --escribe marca RES-0047/RES-0049 (ya adoptados por RELEVO-USOS-1 P4 citando CALC-ENIF-0001) como CONFLICTO-ENTRE-CANALES: CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1 (sellada por MEDICION-DEMANDA-1, post	mesa decide cual CALC es la fuente canonica del pin de RES-0047/RES-0049 (CALC-ENIF-0001, ya citado, o CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1) -- no cambia el p adoptado, solo la procedencia declarada
NC-0246	2026-09-16	GEN2-RESIDUAL-81-1	#803	SIN-ASIGNAR	enruta a mesa/dirección sin nombrar acto ni FP: necesita dueño			consumo del overlay recuperado · ninguna celda ni CORR lo usa todavia	que un acto consumidor use las 9195 identidades recuperadas donde ya hacen falta: enut2024 y enfih2019 quedaron completos (CORR-0014 y CORR-0012), enadid2023 trae el P3_27_AG que CORR-0013 necesitaba localizar, y mociba2015/2016/2017 comple	El proximo acto de la serie SPEC-DEMANDA o MEDICION-DEMANDA para CORR-0013 (enadid2023:P3_27_AG, firmado arriba); MESA para la serie MOCIBA del panel F6 ya dirigida a F6-PANEL-CAJA-1 o su sucesor (NC-0237 sigue ABIERTA); enut2024/enfih2019 
NC-0247	2026-09-16	GEN2-VIGENCIA-DEUDA-1	n/a	SIN-ASIGNAR	el campo `sucesor` lo declara SIN-ASIGNAR o está vacío			P1 -- re-verificar NC-0012/0024/0026/0213/0230/0233	la enmienda fechada propuesta para esas seis filas, tras fallar verificacion adversarial de su evidencia de primera mano	SIN-ASIGNAR -- acto o sesion que repita la verificacion con comandos propios antes de escribir
NC-0251	2026-09-16	GEN2-VIGENCIA-DEUDA-1	n/a	SIN-ASIGNAR	enruta a mesa/dirección sin nombrar acto ni FP: necesita dueño			P2 -- archivado faltante de 2026-09-10-GEN2-POST-685/06-GEN2-ADQUISICION-DIRIGIDA-Y-DIN.md	completar el archivado externo con ## CONSUMIDO, o decidir que la nota de cierre real basta	mesa decide si basta con la nota de cierre o si se crea el homonimo faltante
NC-0253	2026-09-16	GEN2-PINS-REPRODUCE-1		SIN-ASIGNAR	enruta a mesa/dirección sin nombrar acto ni FP: necesita dueño			P1/NC-0243 resto -- bin 1 de RES-0050/0051/0052	Citar corrida0_resultado_id=RESULT-L8CONV-A-P-MINIMO/MAXIMO/MEDIA (corrida0_generacion: GEN2) en milpa/tramite.yaml para participa_p0_minimo/maximo/media (CALC-L8-CONVERSION-0001), igual que los otros 6 del bloque REPRODUCE	acto o decision de direccion sobre tools/corrida0.py::INSUMOS_LEGACY_ARCHIVO / FUENTES_NUEVAS_ACREDITADAS (o un spec.yaml sucesor con origen_numerico declarado) para data/l8-resultados-tipo-boleta-v1_0.json; solo entonces citar las 3 en mil
NC-0257	2026-09-16	GEN2-MANTENIMIENTO-3	n/a	NO-CLASIFICABLE	el campo `sucesor` es prosa sin FP, sin acto GEN2 y sin bandeja: no hay objeto verificable que decida el cierre			incorporar CALC-AGG-marco-M-sorteado-v1_3-ola-v3 y CALC-C0D-ALCANCE-CORPUS-CAPTURA-SUCESOR a las vistas canonicas	corrida0 registro --verifica --escribe	acto en CAJA (numpy/pandas/pyreadstat/data-raw presentes) que corra registro --verifica --escribe
NC-0258	2026-09-16	GEN2-CAJA-REACTIVOS-FD-1		NO-CLASIFICABLE	el campo `sucesor` es prosa sin FP, sin acto GEN2 y sin bandeja: no hay objeto verificable que decida el cierre			NC-0235, segunda mitad: adquisicion de los 55 grupos REQUIERE-FD-EN-CORPUS	adquirir el FD de los 55 grupos que data/reactivos-ciegos-81-v1_0.tsv marca REQUIERE-FD-EN-CORPUS (92941 filas ciegas). Este acto cubrio SOLO los 26 cuyo FD ya estaba en el repo, que es lo que el lanzamiento pidio	ADQUISICION dirigida por la columna demanda_hoy de data/reactivos-ciegos-81-v1_0.tsv, y despues una corrida de tools/actualiza_reactivos_contexto.py con esas fuentes anadidas a data/reactivos-contexto-fuentes-fd26-v1_0.tsv
NC-0259	2026-09-16	GEN2-CAJA-REACTIVOS-FD-1		SIN-ASIGNAR	enruta a mesa/dirección sin nombrar acto ni FP: necesita dueño			residual del crosswalk: 190 filas IDENTIDAD-INSUFICIENTE	acreditar las 190 filas que quedan en data/crosswalk-tablas-fd-residual-v1_0.tsv con motivo IDENTIDAD-INSUFICIENTE: MOCIBA2015.sav (159 filas, cobertura 0.86 contra TCiberacoso y ademas su hoja tiene un miembro mejor, el .dbf), enasem2018 S	MESA, si decide que un emparejamiento revisado a mano es acreditable para esos tres casos; o un acto que encuentre en el FD real una declaracion que hoy no esta indexada
NC-0260	2026-09-16	GEN2-CAJA-REACTIVOS-FD-1		SIN-ASIGNAR	enruta a mesa/dirección sin nombrar acto ni FP: necesita dueño			las 2368 filas irrecuperables por construccion siguen en el denominador de NC-0136	retirar del censo de filas ciegas las 2368 que este acto acredito como sin enunciado posible (EJE-TRANSPUESTO 2172, MIEMBRO-ES-EL-PROPIO-FD 150, NO-ES-TABLA-DE-DATOS 46). data/reactivos-ciegos-81-v1_0.tsv y tools/censa_reactivos_ciegos.py e	acto que re-derive data/reactivos-ciegos-81-v1_0.tsv leyendo data/crosswalk-tablas-fd-residual-v1_0.tsv, o MESA si decide que el denominador no se recorta ni por motivo acreditado
NC-0270	2026-09-16	GEN2-CROSSWALK-EJES-1	#820	NO-CLASIFICABLE	el campo `sucesor` es prosa sin FP, sin acto GEN2 y sin bandeja: no hay objeto verificable que decida el cierre			P2.1 -- la verificacion de localidad<->urbanizacion contra el FD/catalogo abiertos de primera mano	No se abrio ningun FD ni catalogo en este acto: no los hay en el repo y no hay corpus montado.	acto de CAJA que abra el FD de ENIF 2024 y el catalogo tloc.csv y confirme, categoria por categoria, que los cuatro codigos de tloc son los cuatro umbrales de tam_loc.csv. Si confirma, la fila de localidad sube a evidencia_grado=ABIERTA y e
NC-0272	2026-09-16	GEN2-M1-ALCANCE-1		NO-CLASIFICABLE	el campo `sucesor` es prosa sin FP, sin acto GEN2 y sin bandeja: no hay objeto verificable que decida el cierre			A.8 -- el universo de declaraciones vencidas de M1	No se corrio. Dos archivos mas traen la misma declaracion vencida de M1 y NO se enmiendan: forense/CASCADA-M1-2026-08-14.md (seis menciones en futuro condicional, «Que cambia SI M1 se firma», §1/§2/§3) y forense/ADR-MOTOR-2-esqueleto-2026-0	acto de tramite con forense/CASCADA-M1-2026-08-14.md y forense/ADR-MOTOR-2-esqueleto-2026-08-14.md en perimetro, que aplique la misma enmienda fechada de ADR-531 (texto original intacto). Sin urgencia: ninguno de los dos gatea nada hoy.
NC-0273	2026-09-16	GEN2-M1-ALCANCE-1		NO-CLASIFICABLE	el campo `sucesor` es prosa sin FP, sin acto GEN2 y sin bandeja: no hay objeto verificable que decida el cierre			P3 -- verificacion de los cuatro tests en verde	No se corrio. tests/test_motor_holdout.py::test_c_roles_sellados_antes_que_todo_resultado NO se corrige, pese a que este acto midio que da un FAIL EN FALSO en cualquier clon shallow.	acto con tests/test_motor_holdout.py en perimetro: la guarda debe reconocer la historia truncada (p.ej. saltar si el SHA devuelto aparece en .git/shallow, o si git rev-parse --is-shallow-repository es true), no solo el fallo de git. Linea y
NC-0276	2026-09-16	GEN2-CELDA-D-CAREO-1		ESPERA-ACTO-NOMBRADO	espera GEN2-EMISOR-ESTADO-1 (encargo EXISTE: GEN2-EMISOR-ESTADO-1)	GEN2-EMISOR-ESTADO-1=encargo EXISTE		P3 -- NC nueva (registro): escala no declarada en la demanda	Hallazgo abierto, no pieza omitida. 15 de las 42 filas `conducta_p_medido` de data/corrida0/demanda-resultados.tsv traen `escala_legacy = NO-DECLARADO-EN-EL-REGISTRO`. Comando re-ejecutado en este acto sobre las 209 lineas del archivo: filt	acto de registro, no de medicion -- se declara la escala que la fila ya tiene, no se vuelve a medir nada. || SUCESOR ACTUALIZADO: NC-0298 (lectura de `escala` por conducta en tools/corrida0.py), de la que dependen las 11 restantes. Sin ese 
NC-0278	2026-09-16	GEN2-CELDA-D-CAREO-1		SUCESOR-YA-FUSIONADO	acto sucesor GEN2-TRAMITE-4 tiene nota de cierre	GEN2-TRAMITE-4 -> 2026-09-16-GEN2-TRAMITE-4.md	NO-RESUELTA · DIFERIDO-A acto con red; este entorno tiene la red denegada	P1 -- las tres fuentes externas de Astra	Parcial, con reserva. Las tres fuentes externas que Astra cita (Cawley-Talbot 2010 JMLR; Benjamini-Hochberg 1995, DOI 10.1111/j.2517-6161.1995.tb02031.x; Hyndman-Athanasopoulos FPP3 §5.8) se intentaron abrir desde la nube y las tres quedan 	DIFERIDO-A:cualquier acto con red (CAJA) que abra las tres y pegue la afirmacion que cada una sostiene; la receta esta en forense/notas/2026-09-17-GEN2-CELDA-D-CAREO-1.md || ENMIENDA FECHADA 2026-09-16 (ACTO GEN2-TRAMITE-4, P3c): SIGUE ABIE
NC-0279	2026-09-16	GEN2-CELDA-D-CAREO-1		ESPERA-ACTO-NOMBRADO	espera GEN2-CELDA-D-PILOTO-1, GEN2-M1-ALCANCE-1 (encargo EXISTE: GEN2-CELDA-D-PILOTO-1, GEN2-M1-ALCANCE-1)	GEN2-CELDA-D-PILOTO-1=encargo EXISTE · GEN2-M1-ALCANCE-1=encargo EXISTE		P3 -- enmienda fechada in situ a NC-0239	Distinta de lo pedido, y por buena razon. El encargo pide enmendar NC-0239 para decir que el bloqueador se cuenta celda por celda (ADR-531) y que su sucesor es GEN2-CELDA-D-PILOTO-1. Verificado por comando antes de escribir: ESA ENMIENDA YA	GEN2-CELDA-D-PILOTO-1 -- sin cambio respecto de lo que ADR-531 ya habia escrito.
NC-0280	2026-09-16	GEN2-CELDA-D-CAREO-1		ESPERA-ACTO-NOMBRADO	espera GEN2-CELDA-D-PILOTO-1 (encargo EXISTE: GEN2-CELDA-D-PILOTO-1)	GEN2-CELDA-D-PILOTO-1=encargo EXISTE		PERIMETRO -- `tests/check.py` solo T25	Se escribio FUERA de la lista, y se para a decirlo en vez de tomar el atajo. El perimetro del encargo autoriza tocar tests/check.py **solo por T25**. Este acto tuvo que tocar ADEMAS _T_YAMEDIDO_ARCHIVOS_CONOCIDOS (T30): el encargo archivado	SIN-ASIGNAR -- es una observacion sobre como direccion calcula el perimetro de un acto que archiva adjuntos verbatim, no una deuda tecnica. El sucesor GEN2-CELDA-D-PILOTO-1 hereda la leccion: un acto que archiva texto de terceros dispara T0
NC-0284	2026-09-16	GEN2-TRAMITE-4	#826	ESPERA-ACTO-NOMBRADO	espera GEN2-RECIBO-CODEX-3, GEN2-REPLAY-Y-PISOS-CLI-1 (encargo EXISTE: GEN2-RECIBO-CODEX-3)	GEN2-RECIBO-CODEX-3=encargo EXISTE · GEN2-REPLAY-Y-PISOS-CLI-1=encargo NO-ENCONTRADO		P1(b) -- registro de CALC-ENCRIGE-CORRUPCION-DESCRIPTIVA-0001	NO SE REGISTRA. `python3 tools/corrida0.py verify CALC-ENCRIGE-CORRUPCION-DESCRIPTIVA-0001` -> VERIFY: NO-VERIFICABLE (CONTEXTO=NO-VERIFICABLE · RESULTADO=NO-EJECUTABLE).	acto de CAJA que configure las raices conjunto_de_datos_encrige_2020_csv / encrige2020_cuestionario (el corpus montado no basta) y vuelva a verificar; despues, registro --escribe (fuera de este perimetro)
NC-0285	2026-09-16	GEN2-TRAMITE-4	#831	ESPERA-ACTO-NOMBRADO	espera GEN2-RECIBO-CODEX-3, GEN2-REPLAY-Y-PISOS-CLI-1 (encargo EXISTE: GEN2-RECIBO-CODEX-3)	GEN2-RECIBO-CODEX-3=encargo EXISTE · GEN2-REPLAY-Y-PISOS-CLI-1=encargo NO-ENCONTRADO		P1(b) -- registro de CALC-ENCIG2023-AGREGADO-CONDICIONAL-0001, y su encargo fuera del directorio canonico	DOS COSAS. (1) NO SE REGISTRA: verify -> VERIFY: NO-EJECUTABLE (CONTEXTO=DISTINTO · RESULTADO=NO-EJECUTABLE). (2) El PR NO archivo su encargo en forense/encargos/: `git diff --name-only e4f5f77^1 e4f5f77 -- forense/encargos/` -> 0 archivos.	(1) resuelto, sin sucesor pendiente. (2) FUERA-DE-PERIMETRO para este acto (mover/crear un encargo archivado ajeno es tocar A.3 de otro acto); DIFERIDO-A: pieza de mantenimiento o acto propio de direccion -- SIN-ASIGNAR
NC-0287	2026-09-16	GEN2-TRAMITE-4	#824,#825,#826,#828,#829,#830	ESPERA-ACTO-NOMBRADO	espera GEN2-RECIBO-CODEX-3, GEN2-TRAMITE-5 (encargo EXISTE: GEN2-RECIBO-CODEX-3)	GEN2-RECIBO-CODEX-3=encargo EXISTE · GEN2-TRAMITE-5=encargo NO-ENCONTRADO		P1(a) -- forma de cierre del carril Codex	SEIS de los siete encargos del lote se archivaron en forense/encargos/ SIN `## NO-CORRIDO / RESERVAS` y SIN `## CONSUMIDO`. Verificado por comando sobre los seis: `awk '/^## NO-CORRIDO/{f=1} f'` -> 0 lineas en cada uno. Traen `## Cierre suf	El propio recibo en lote de este acto (su ADR) es el sustituto para ESTA tanda. Para las siguientes: la rutina D5 de mesa, que lo vuelve trabajo de tanda y no encargo nuevo cada vez. DIFERIDO-A: GEN2-TRAMITE-5 o el siguiente recibo de tanda
NC-0289	2026-09-16	GEN2-TRAMITE-4	(este acto)	SUCESOR-YA-FUSIONADO	todas las FP citadas están FIRMADAS; falta verificar el producto	FP-382=FIRMADA	NO-RESUELTA · espera pieza de mantenimiento que retire o redefina el contador	P3(a) -- `N_resultados_pendientes` es constante por construccion	No se retira ni se redefine el contador: solo se acredita que no puede moverse. Derivado por comando: las filas DEMANDA nacen PENDIENTE (tools/corrida0.py:243) y `status` cuenta `sum(1 for f in activos if f['estado']=='PENDIENTE')` (:4287);	DIFERIDO-A: pieza de mantenimiento que lo retire o lo redefina con una transicion real. Misma pieza que la de FP-382 si mesa las agrupa.
NC-0290	2026-09-16	GEN2-TRAMITE-4	(este acto)	ESPERA-ACTO-NOMBRADO	espera GEN2-RELEVO-USOS-1 (encargo EXISTE: GEN2-RELEVO-USOS-1)	GEN2-RELEVO-USOS-1=encargo EXISTE		P2(c) -- pasos 2 y 3 de la tabla de propagacion de la regla de adopcion en bloque	PARCIAL. Paso 1 (fila en decisiones.tsv con la firma verbatim y la regla como OBJETO): HECHO por este acto -- estaba en NO HECHO. Paso 2: HECHO SOLO EN SU MITAD de hallazgos.md (entrada PARA-v2.14); su otra mitad -- un ADR derivado CON LA R	Direccion, para la cuarta condicion del bin 1; despues, el acto que selle la regla con ADR propio. DIFERIDO-A:SIN-ASIGNAR.
NC-0291	2026-09-16	GEN2-TRAMITE-4	(este acto)	NO-CLASIFICABLE	el campo `sucesor` es prosa sin FP, sin acto GEN2 y sin bandeja: no hay objeto verificable que decida el cierre			P2(d) -- la mitad de codigo de WARN->estado	NO SE TOCA tests/check.py. La firma queda propagada al tablero (decisiones.tsv, FP-382, hallazgos.md) y NO al instrumento.	DIFERIDO-A: pieza de mantenimiento para WARN->estado en tests/check.py, ya nombrada como sucesor en el encargo.
NC-0292	2026-09-16	GEN2-TRAMITE-4	(este acto)	NO-CLASIFICABLE	el campo `sucesor` es prosa sin FP, sin acto GEN2 y sin bandeja: no hay objeto verificable que decida el cierre			P1(d) -- defecto propio del generador de digesto, encontrado al regenerarlo	No se repara tools/digesto_tramite.py. HALLAZGO: la marca `<!-- H-REF sha_arbol=... nc_sha256=... -->` que el digesto escribe al cerrar parea el SHA de HEAD con el hash del ARBOL DE TRABAJO, no con el hash de no-corrido.tsv EN ese commit. S	DIFERIDO-A: pieza de mantenimiento en tools/digesto_tramite.py -- que la marca H-REF declare el hash del TSV EN el commit citado, o que el generador se niegue a escribir la marca con el arbol sucio (ya tiene la senal). Puede agruparse con N
NC-0294	2026-09-17	GEN2-ESQUEMA-E1-CAPA-1		NO-CLASIFICABLE	el campo `sucesor` es prosa sin FP, sin acto GEN2 y sin bandeja: no hay objeto verificable que decida el cierre			Colision de llave `0` entre evidencia_experimental_terceros y coeficientes_generador_sellados en Theta.desde()	Corregir la indexacion de milpa/src/theta.py. Procedencia.consumibles() devuelve 44 entradas; Theta.desde() las indexa por `llave` en un dict y entrega 43: la llave `0` colisiona y coeficientes_generador_sellados.0 pisa a evidencia_experime	acto que toque milpa/src/theta.py para indexar por ruta_yaml completa (o llave calificada) en vez de por llave pelada
NC-0296	2026-09-17	GEN2-ESQUEMA-E1-CAPA-1		NO-CLASIFICABLE	el campo `sucesor` es prosa sin FP, sin acto GEN2 y sin bandeja: no hay objeto verificable que decida el cierre			La `fuente:` de coeficientes_generador_sellados[5] (G3.horizonte_temporal) no resuelve a ninguna llave de coeficientes_g	"Corregir la referencia. tools/corrida0.py:348-351 deriva la entrada sostenedora partiendo la `fuente:` por ""."" y "",""; para esta entrada la fuente es una ruta de nota (forense/notas/2026-08-24-cal-g3-puntual-cierre.md) y el resultado es la c"	acto que toque tools/corrida0.py o la `fuente:` de esa entrada sellada
NC-0297	2026-09-17	GEN2-ESQUEMA-E1-CAPA-1		NO-CLASIFICABLE	el campo `sucesor` es prosa sin FP, sin acto GEN2 y sin bandeja: no hay objeto verificable que decida el cierre			data/corrida0/demanda-*.tsv commiteados estan desfasados respecto de lo que tools/corrida0.py demanda genera hoy	Regenerar (o explicar) el registro en seco. Correr demanda sobre el arbol de origin/main SIN NINGUN CAMBIO reescribe los dos TSV: aparece una fila CORR nueva (un consumidor de milpa/src/motor.py) y todos los ids CORR/RES posteriores se reco	la rutina /deriva, que ya es duena de regenerar los derivados diarios
NC-0298	2026-09-17	GEN2-EMISOR-ESTADO-1		SIN-ASIGNAR	el campo `sucesor` lo declara SIN-ASIGNAR o está vacío			P2 -- NC nueva (aparato): `escala` se lee por REGLA, no por salida	Las 11 filas conducta_p_medido que siguen con escala_legacy = NO-DECLARADO-EN-EL-REGISTRO (RES-0003, 0004, 0005, 0009, 0011, 0013, 0015, 0021, 0022, 0025, 0026).	SIN-ASIGNAR -- requiere acto propio sobre tools/corrida0.py (leer salida.escala con respaldo a la de regla, sin cambiar la semantica de las reglas que ya la declaran al nivel de regla: milpa/tramite.yaml:284, :1263, :1357, mas las dos que e
NC-0299	2026-09-17	GEN2-EMISOR-ESTADO-1		SIN-ASIGNAR	el campo `sucesor` lo declara SIN-ASIGNAR o está vacío			P1 -- NC nueva (registro): las citas `origen:` del emisor al arbitro estan DESFASADAS	Las once lineas `origen:` de milpa/tramite.yaml que citan milpa/tramite-ola5-propuesta-v0.yaml por RANGO DE LINEA (:114, :133, :207, :221, :422, :441, :519, :541, :681, :712, :1423 en la numeracion previa a las dos lineas escala: de este ac	SIN-ASIGNAR -- la reparacion natural es citar por `id` y no por rango (el id es estable, el rango no), pero tocar esas once lineas es reescribir campos del emisor que el perimetro de este acto limita a `escala:` nuevos («ningun otro byte»).
NC-0301	2026-09-17	GEN2-CORTE-EDAD-1		NO-CLASIFICABLE	el campo `sucesor` es prosa sin FP, sin acto GEN2 y sin bandeja: no hay objeto verificable que decida el cierre			P1 -- la clausula «mismos no-respuesta» del veredicto EQUIVALENTE, en los tres instrumentos	No se verifico codigo por codigo que 97/98/99 sean no-especificada y no edades reales en ENVIPE 2025, ENCIG 2025 ni ENIF 2024. Los catalogos que lo dirian estan en data/raw.	acto de CAJA que abra tsdem_envipe2025/catalogos/edad.csv, el catalogo equivalente de ENCIG 2025 y el de EDAD_V de ENIF 2024, y confirme codigo por codigo la lista de no-respuesta. Mismo patron que NC-0270.
NC-0303	2026-09-17	GEN2-CORTE-EDAD-1		NO-CLASIFICABLE	el campo `sucesor` es prosa sin FP, sin acto GEN2 y sin bandeja: no hay objeto verificable que decida el cierre			PERIMETRO -- los tres consumidores de CORTES_C1 que el sello desalinea, todos fuera de la lista	No se tocaron. (i) milpa/src/pi.py:62-64: construir_pi SIGUE parando (migracion sigue pendiente), pero su mensaje cita `FP-53` para cualquier eje pendiente -- ahora dice «cortes PENDIENTE: ('migracion',). `FP-53` tiene abierta esa deuda», y	acto con milpa/src/pi.py, tools/corrida0.py y tools/rutas_sin_candidato.py en perimetro que alinee los tres con el estado sellado y con ADR-537. El de pi.py es el mismo defecto que este acto nombra -- un bloqueador citado por nombre que no 
NC-0305	2026-09-16	GEN2-CELDA-D-PILOTO-1	PR-PENDIENTE	SIN-ASIGNAR	el campo `sucesor` lo declara SIN-ASIGNAR o está vacío			P1/COMMIT-1 -- `estrategia` de C1 en el vocabulario v0.3 §3	NO SE CORRIO: no existe un valor de enum para «persistencia». C1 se registra con `estrategia: transversal_con_seleccion` y su `regla_composicion` declara la identidad temporal p_2021 -> p_2024.	SIN-ASIGNAR -- vocabulario de celda-D v0.6
NC-0307	2026-09-16	GEN2-CELDA-D-PILOTO-1	PR-PENDIENTE	SIN-ASIGNAR	el campo `sucesor` lo declara SIN-ASIGNAR o está vacío			P2/COMMIT-2 -- «C3 ... con intervalo de 80 % declarado por L» (diseno v1.1 §2/§4)	NO SE EXTRAJO EL INTERVALO. Se le PIDE a L en el prompt y viaja integro en el texto crudo de las 64 capturas, pero no se convierte en cifra: la regla congelada `tools/extrae_l_v1_1.py::extraer_valor` devuelve UN PUNTO, y escribir una segund	SIN-ASIGNAR -- sucesor que pre-registre una regla de extraccion de intervalos antes de mirar las capturas
NC-0308	2026-09-16	GEN2-CELDA-D-PILOTO-1	PR-PENDIENTE	SIN-ASIGNAR	el campo `sucesor` lo declara SIN-ASIGNAR o está vacío			Disciplina de E.5 sobre la spec v1_2 -- «congela spec.yaml en un COMMIT-1 anterior a cualquier microdato»	SE INCUMPLIO, y es defecto de proceso PROPIO. v1.0 (3461c46) y v1.1 (3422a30) se congelaron antes de abrir un solo byte; v1.2 NO: el medidor se corrio en seco contra el microdato real antes de comitear esa version.	SIN-ASIGNAR -- el sucesor congela su spec antes de escribir el medidor, sin excepcion
NC-0310	2026-09-16	GEN2-CELDA-D-PILOTO-1	PR-PENDIENTE	ESPERA-ACTO-NOMBRADO	espera GEN2-CELDA-D-PILOTO-2 (encargo NO-ENCONTRADO)	GEN2-CELDA-D-PILOTO-2=encargo NO-ENCONTRADO		tests/test_motor_holdout.py::test_c_roles_sellados_antes_que_todo_resultado -- hallazgo PRE-EXISTENTE	NO SE TOCO, y no lo causo este acto. Falla porque el catalogo y `milpa/src/motor.py` entraron en el MISMO commit `017ac24`, contra el umbral (1) de ADR-68. Verificado por comando: `git log --diff-filter=A --format=%H -- milpa/catalogo-momen	GEN2-CELDA-D-PILOTO-2 o quien abra perimetro sobre tests/test_motor_holdout.py -- va junto con NC-0309, es el mismo archivo
NC-0311	2026-09-16	GEN2-CELDA-D-PILOTO-1	PR-PENDIENTE	SUCESOR-YA-FUSIONADO	todas las FP citadas están FIRMADAS; falta verificar el producto	FP-379=FIRMADA	NO-RESUELTA · L+corpus sigue en CERO capturas	P2/COMMIT-2 -- «C3 (L-solo y L+corpus, 8 celdas x replicas segun PAQUETE-L-v1_1)», encargo verbatim	SOLO SE CORRIO L-solo (64 capturas, 8 celdas x k=8, 0 rechazos, 64/64 extraibles). L+corpus: CERO capturas.	GEN2-CELDA-D-PILOTO-L-CORPUS-1 -- solo si mesa lo pide; hoy es moot porque L-solo no vencio a ningun piso
NC-0313	2026-09-16	GEN2-CELDA-D-PILOTO-1	PR #849	SIN-ASIGNAR	el campo `sucesor` lo declara SIN-ASIGNAR o está vacío			E.3/E.5 -- que toda corrida sellada replique: `RESULT-DIN-LXE8-G-R-EXISTE-AL-CERRAR` del CALC de emisiones	"NO REPLICA, Y NO PUEDE. Al sellar COMMIT-2 valia ""NO""; hoy, despues del COMMIT-3, vale ""SI"". `verify` sobre el CALC de emisiones da NO-REPRODUCE de forma PERMANENTE a partir del COMMIT-3. Medido: 220 de 221 RESULT reproducen con delta 0 y C"	SIN-ASIGNAR -- el sucesor que escriba el proximo falsador de orden; y quien lea `verify` sobre este CALC debe leer antes esta fila
NC-0314	2026-09-17	GEN2-MANTENIMIENTO-4	PR-PENDIENTE	NO-CLASIFICABLE	el campo `sucesor` es prosa sin FP, sin acto GEN2 y sin bandeja: no hay objeto verificable que decida el cierre			"forense/rutinas.tsv: enmienda fechada a la huella PARO del 17/sep (""causa: T16 asertaba WARN; resuelto por ADR-539"")"	la fila PARO del 17/sep aun no existe en origin/main -- la trae la rutina paralela #850, sin fusionar; este acto declara no fusionar ni editar PR de rutina en vuelo	DIFERIDO-A:PR#850
NC-0316	2026-09-17	GEN2-RECIBO-CODEX-2	#832	SUCESOR-YA-FUSIONADO	acto sucesor GEN2-REGISTRO-CAJA-1 tiene nota de cierre	GEN2-REGISTRO-CAJA-1 -> nota-2026-09-17-gen2-registro-caja-1.md	NO-RESUELTA · espera decisión de mesa sobre integración	GEN2-WBES2023-DESCRIPTIVA-1	insertar la lectura del CALC-WBES2023-CORRUPCION-DESCRIPTIVA-0001 en TRA y decidir uso del compuesto propio; actualizar contador de gobernanza si mesa lo exige	acto de mesa/CAJA que decida integracion y registre el CALC (GEN2-REGISTRO-CAJA-1 para el registro)
NC-0317	2026-09-17	GEN2-RECIBO-CODEX-2	#833	SIN-ASIGNAR	enruta a mesa/dirección sin nombrar acto ni FP: necesita dueño			GEN2-L8-LINAJE-HEREDADO-1	decision de mesa: aceptar o rechazar conservar los tres resultados reclasificados como legado explicito bajo DESCRIPTIVO	decision de mesa, sin acto propio necesario
